"year","lsl_max"
1977,639.279223744292
1978,595.655251141553
1979,856.314623680854
1980,660.898679417122
1981,617.885273972603
1982,621.553196347032
1983,747.885502283105
1984,589.442850637523
1985,1953.44429223744
1986,615.919863013699
1987,770.475684931507
1988,628.850182149363
1989,636.411073059361
1990,610.035502283105
1991,613.826255707763
1992,1037.21639344262
1993,692.486601495112
1994,1103.52203196347
1995,1679.68470319635
1996,661.996874276453
1997,601.763356164384
1998,1484.98477751756
1999,657.280189620758
2000,780.669512750455
2001,692.086301369863
2002,1113.65399543379
2003,721.927818515124
2004,1299.18419854281
2005,2100.14577625571
2006,734.40858044164
2007,612.563519104405
2009,995.83105022831
2010,625.777054794521
2011,753.144063926941
2012,1108.3052140255
2013,586.284817351598
2014,757.128082191781
2015,843.006735159817
2016,995.338000910747
2017,1028.13310502283
2018,2404.03904109589
