"year","lsl_max"
1912,1284.08879781421
1913,1349.44863013699
1914,1592.03139269406
1915,1515.04417808219
1916,1294.45366575592
1917,1260.71837899543
1918,1551.77305936073
1919,1385.51794071763
1920,1620.26062193872
1923,1404.72465753425
1924,1487.34016393443
1925,1362.92910958904
1926,1289.33984018265
1927,1454.3598173516
1928,1414.27481785064
1929,1377.15273972603
1930,1430.16529680365
1931,1529.23881278539
1932,1533.08925318761
1933,1587.26038812785
1934,1339.63732876712
1935,1511.11552511416
1936,1321.13080601093
1937,1368.61860730594
1938,1288.96579906953
1939,1478.74109589041
1940,1437.18510928962
1941,1259.11712328767
1942,1438.35308219178
1943,1558.40091324201
1944,1647.07604735883
1945,1437.99988584475
1946,1297.94303652968
1947,1678.77203196347
1948,1449.83538251366
1949,1327.67363013699
1950,2022.7200913242
1951,1424.65767264947
1952,1300.36509562842
1953,1694.74897260274
1954,1366.60239726027
1955,1389.42819634703
1956,1425.97757285975
1957,1315.60947488584
1958,1387.65125570776
1960,1274.38160291439
1961,1571.90342465753
1963,1306.61369863014
1964,1343.02003642987
1965,1317.50390944101
1966,1632.61255707763
1967,1374.45707762557
1968,1460.63775045537
1969,1444.76813036447
1972,1550.56341074681
1973,1473.84357344633
1975,1152.52682648402
1976,1365.29642939949
1977,1695.25301962758
1979,1501.35648201028
1980,1641.44842896175
1981,1552.7600456621
1982,1366.04257990868
1983,1312.8997716895
1984,1695.49863387978
1985,1847.075456621
1986,1408.37168949772
1987,1638.89372146119
1988,1276.42736794171
1989,1423.76746575342
1990,1450.64760273973
1991,1928.26415525114
1993,1395.65
1994,1632.96906392694
1995,1543.48710045662
1996,1429.48178506375
1997,1484.74178082192
1998,1469.70171232877
2000,1463.01798724954
2003,1416.44520547945
2004,1349.68602003643
2005,1394.73424657534
2006,1467.91872146119
2007,1386.86780821918
2008,1391.51035974499
2009,1503.53424657534
2010,1246.38448941397
2011,1398.325456621
2012,1885.83777322404
2013,1359.42442922374
2014,1394.04577625571
2015,1401.27785388128
2016,1559.75079690346
2017,1473.88630136986
2018,1452.56586757991
