"year","lsl_max"
1922,2287.60913242009
1923,2202.04668949772
1924,2222.71584699454
1925,2095.41289954338
1926,2389.69257990868
1927,2264.58207762557
1928,2324.56762295082
1929,2289.45936073059
1930,2200.75707762557
1931,2668.2953196347
1932,2309.36668943534
1933,2498.58892694064
1934,2188.81289954338
1935,2208.78755707763
1936,2349.34596994536
1937,2345.04805936073
1938,2328.44337899543
1939,2359.19691780822
1940,2596.0585154827
1941,2195.69349315068
1942,2120.07922374429
1943,2200.19246575342
1944,2590.1029143898
1946,2217.06267123288
1947,2390.90696347032
1948,2294.64719945355
1949,2190.11118721461
1950,2346.92305936073
1951,2222.3899543379
1952,2414.91302367942
1953,2356.53561643836
1954,2414.52819634703
1955,2322.17442922374
1956,2471.70537340619
1957,2233.98230593607
1958,2463.26746575342
1959,2721.48755707763
1960,2331.93920765027
1961,2519.06379491982
1962,2445.94166570405
1963,2442.35707762557
1964,2257.92531876138
1965,2194.54805936073
1966,2243.91358447489
1967,2611.6801369863
1968,2299.66376508821
1969,2257.32970505618
1970,2233.31369863014
1971,2276.48351380947
1972,2586.34904371585
1973,2391.81381278539
1975,2128.45114155251
1976,2554.71903218338
1977,2246.66222120028
1978,3018.30216894977
1979,2717.01792237443
1980,2258.56523224044
1981,2310.44566210046
1982,2284.59988584475
1983,2255.70787671233
1984,2224.91017759563
1985,2282.22910958904
1986,2265.20319634703
1987,2687.90650684932
1988,2214.20514571949
1989,2133.5053652968
1990,2389.18378504129
1991,2731.32945205479
1992,2684.19729052823
1993,2291.8906744868
1994,2355.59259685021
1995,2485.04774444699
1996,2150.89594717668
1997,2285.08824200913
1998,2205.02979452055
1999,2078.49691780822
2000,2303.8639571949
2001,2315.49283503382
2002,2500.9345890411
2003,2481.34248621324
2004,2214.85869696603
2005,2478.2752283105
2006,2475.7198630137
2007,2569.96547373251
2008,2219.85075136612
2009,2249.62590941094
2010,2418.81917808219
2011,2280.99726027397
2012,2451.34972677596
2013,2291.2598173516
2014,2525.57077625571
2015,2507.06175799087
2016,2261.28734061931
2017,2324.92718163812
2018,2879.91278538813
