"year","lsl_max"
1966,1556.30084745763
1967,1538.01460034645
1968,1476.61119498316
1973,1586.57367106671
1975,1310.11524842947
1976,1495.279143898
1977,1829.40660936933
1979,1521.00115740741
1981,1658.56643835616
1982,1392.10499202747
1983,1509.28057553957
1984,1681.53268236646
1985,1910.71128871129
1986,1562.17741935484
1987,1603.85661891117
1988,1394.84233866262
1989,1494.11653823355
1990,1466.23544391712
1991,1704.55343951985
1992,1811.09836065574
1993,1561.02420091324
1994,1833.26527745259
1995,1483.86576011158
1996,1544.39833788707
1997,1515.13060943418
1998,1632.13333333333
1999,1440.63002283105
2000,1571.14184559159
2001,1429.67238979118
2002,1375.95784883721
2004,1410.47780054645
2005,1529.49691780822
2006,1565.97203196347
2008,1548.34528034067
2009,1589.32648401826
2010,1365.82157534247
2011,1721.2654109589
2012,1767.14776867031
2013,1416.03664383562
2014,1462.400456621
2015,1570.24303652968
2016,1734.00660291439
2017,1469.00194063927
2018,1611.08401826484
