"year","lsl_max"
1901,1461.01187980433
1902,1341.46780821918
1903,1365.23413242009
1922,1461.31221461187
1923,1328.65707762557
1924,1293.47711748634
1925,1270.98413242009
1926,1580.00216894977
1927,1315.94075342466
1928,1669.99533242259
1929,1390.42203196347
1930,1339.83710045662
1931,1398.73310502283
1932,1593.20150273224
1933,1364.98641552511
1934,1977.56552511416
1935,1342.98059360731
1936,1343.71129326047
1937,1358.53219178082
1938,1438.79440729483
1939,1385.25742009132
1940,1817.63183845973
1941,1336.94474885845
1942,1449.45342465753
1943,1454.87488584475
1944,1639.25671675774
1945,1511.02180365297
1947,1777.64942922374
1948,1404.0993852459
1949,1450.8350456621
1950,1261.91095890411
1951,1399.86769406393
1953,1439.14577625571
1954,1438.08356164384
1955,1432.25296803653
1956,1367.38046448087
1957,1381.47294520548
1958,1396.92933789954
1959,1694.53230593607
1960,1562.79667577413
1961,1452.95102739726
1962,1521.20776255708
1963,1410.78321917808
1964,1374.97267759563
1965,1473.29634703196
1967,1454.84326484018
1968,1317.17509107468
1969,1391.7899543379
1970,1480.74300699301
1971,1517.29372146119
1973,1305.03738985473
1974,1439.92773972603
1975,1308.73162100457
1976,1409.42235883424
1977,1452.26426940639
1978,1394.36712328767
1979,1819.6950913242
1980,1440.1145011191
1981,1604.14029680365
1982,1569.95559360731
1983,1412.5386204522
1984,1456.36168032787
1985,1442.0782535075
1986,1510.21108693162
1987,1797.87785388128
1988,1315.56830601093
1989,2659.98584176086
1992,1395.76408247898
1993,1435.86780821918
1994,1544.03209594517
1995,1342.64359150103
1996,1553.62841530055
1997,1341.42066210046
1998,1406.9703196347
1999,1417.97248858447
2000,1462.22836976321
2001,1537.6752283105
2002,1455.72226027397
2003,1406.2850456621
2004,1323.58583788707
2005,1351.87020547945
2006,1427.57374429224
2007,1459.56746575342
2008,1507.78973132969
2009,1501.23630136986
2010,1493.69052511416
2011,1405.94212328767
2012,1459.95594262295
2013,1297.66860730594
2014,1284.17054794521
2015,1565.79280821918
2016,1771.59722222222
2017,1974.16221461187
2018,1642.89337899543
