"year","lsl_max"
1976,1032.36908014572
1977,1402.30082242558
1978,1434.16952198395
1979,1031.0303652968
1980,1016.51992258652
1981,1188.71175799087
1982,1346.25901826484
1983,1157.55285388128
1984,1008.25910746812
1985,1240.72754699466
1986,1123.1252283105
1987,1228.88812785388
1988,1275.93078324226
1989,1075.57214611872
1990,976.299086757991
1991,1237.04589041096
1992,1290.69626593807
1993,1098.91769406393
1994,1188.07111872146
1995,1004.69589041096
1996,1074.97601370645
1997,1274.50239726027
1998,1461.39337899543
1999,1237.00461414235
2000,1313.8493852459
2001,1070.2782369146
2002,993.04897260274
2003,1746.60878995434
2004,1158.94250910747
2005,1050.01210045662
2006,1555.89303652968
2007,1046.25342465753
2008,1271.34801912568
2009,1688.97397260274
2010,1110.28801369863
2011,1632.56575342466
2012,1564.22484061931
2013,1138.48310502283
2014,1056.75262557078
2015,1438.47543636574
2016,1292.35917577414
