"year","lsl_max"
1996,1388.50586360014
1997,828.463316075262
1998,907.181011637285
1999,1097.41513897102
2000,943.06999746386
2001,1004.13567593948
2002,881.111529680365
2003,771.393239047948
2004,1009.26400273224
2005,1037.60159817352
2006,870.595007270965
2007,944.986672901567
2008,1027.00423096068
2009,828.075411388659
2010,816.992440468691
2011,896.603881278539
2012,1096.58113566168
2013,933.580450950301
2014,832.395808944041
2015,829.459615163037
2016,1156.58959471767
2017,983.943721461187
2018,1117.77591324201
