"year","lsl_max"
1987,736.005136986301
1988,1196.41302367942
1989,691.172831050229
1991,767.923401826484
1992,681.099385245901
1993,1029.2651826484
1994,606.192922374429
1995,755.683040391107
1996,1034.91757741348
1997,794.716324200913
1998,1214.37751141553
1999,647.721552555448
2000,556.257285974499
2001,644.619748858448
2002,833.008447488584
2003,1071.1848173516
2004,841.978255919854
2005,1147.29132420091
2006,755.878652968036
2007,628.511187214612
2008,1383.94603825137
2009,804.798744292238
2010,905.674086757991
2011,654.341894977169
2012,556.458447176685
2013,625.090981735159
2014,546.96107305936
2015,739.621917808219
2016,575.794512750455
2017,906.784474885845
2018,775.297488584475
