"year","lsl_max"
1982,560.681621004566
1983,622.370319634703
1984,553.234175774135
1985,1011.11655251142
1986,629.766210045662
1987,592.769406392694
1988,720.124544626594
1989,568.672374429224
1990,540.722260273973
1991,624.501369863014
1992,695.824908925319
1993,725.258561643836
1994,687.197602739726
1995,1023.26723744292
1996,589.25901186226
2004,1931.4339708561
2007,580.166552511416
2008,1112.56306921676
2009,895.432191780822
2010,545.16404109589
2011,802.287899543379
2012,996.715733151184
2013,508.684132420091
2014,620.603310502283
2015,753.847146118721
2016,533.994990892532
2017,1001.02602739726
2018,839.652511415525
