"year","lsl_max"
1979,1122.29883138564
1980,1077.28355586788
1981,1417.85433979686
1982,1277.4151826484
1983,1256.2546803653
1984,1347.68886612022
1985,1260.61232876712
1986,1067.67880485528
1987,1171.11137148495
1988,1437.73315643747
1989,1314.95928019379
1990,1199.78093607306
1991,1321.3196347032
1992,1327.61851092896
1993,1315.52397260274
1994,1093.21746575342
1995,1171.76306700437
1996,1189.35484972678
1997,1322.99372146119
1998,1182.46141552511
1999,1506.03440311208
2000,1420.76001426364
2001,1252.91358447489
2002,1135.75251141553
2003,1785.66621004566
2004,1344.02811930783
2005,1174.08344748858
2006,1609.90696347032
2007,1269.19680365297
2008,1265.67896174863
2009,1378.84497716895
2010,1175.05011415525
2011,1231.28173515982
2013,1249.29760273973
2014,1141.59737442922
2015,1409.57636986301
2016,1284.82832422586
2017,1303.71038812785
2018,1166.88127853881
