"year","lsl_max"
1930,3845.14885844749
1931,3864.6953196347
1932,3825.88444899818
1933,3907.71906392694
1934,3883.42123287671
1935,3865.73561643836
1936,4069.78460837887
1937,3893.04646118721
1938,3885.80376712329
1939,3923.27385844749
1941,3879.47248858448
1942,3759.96792237443
1943,3900.34155251142
1944,3927.4595856102
1945,4180.95445205479
1946,3920.31152968037
1947,3911.19771689498
1948,3859.48827413479
1949,3840.02557077626
1950,4046.4752283105
1951,3848.4144977169
1952,3835.18738615665
1953,3914.12470970738
1954,4021.59554794521
1955,3990.22226027397
1956,3850.2314435337
1959,4162
1962,3950.36815068493
1964,4012.77026411658
1965,3867.54726027397
1966,3927.34200913242
1967,3999.60422374429
1968,4154.9964708561
1971,3952.2303652968
1973,3898.36934408979
1979,4294.68892694064
1981,4050.9384743544
1982,4186.83139269406
1983,3816.20901826484
1984,3837.40383170548
1985,3888.90650684932
1986,3913.88242804085
1987,4001.33835616438
1988,3901.97552367942
1989,3881.91255707763
1990,4074.09326484018
1991,3945.2523735128
1992,3902.80919854281
1993,3957.16578341014
1994,4032.40804736588
1995,4090.64340552309
1997,4365.59760273973
1998,3927.57191780822
2000,4143.33219489982
2001,4002.92557712186
2002,3912.25068493151
2003,3954.05225680487
2004,3967.11919398907
2005,3892.31491238819
2006,3962.5149543379
2007,3923.2904109589
2008,3879.41557081345
2009,3951.19688569069
2010,3952.03230593607
2011,4012.85719178082
2012,3924.6912568306
2013,4022.96221461187
2014,4066.14029680365
2015,4112.91815068493
2016,4069.46277322404
2017,4049.28367579909
2018,4018.89657534247
