"year","lsl_max"
1898,2039.46883561644
1899,1661.41301369863
1900,1627.9850456621
1901,1921.40730593607
1902,1546.37442922374
1903,1525.49794520548
1904,1511.23998178506
1905,1657.19634703196
1906,1692.88869863014
1907,1611.36849315069
1908,1606.97711748634
1909,1658.08812785388
1910,1925.06792237443
1911,1509.02853881279
1912,1559.07991803279
1913,1573.74783105023
1914,1528.30833333333
1915,1469.64988584475
1916,1607.03984517304
1917,1511.04406392694
1918,1659.96872146119
1919,1661.66940639269
1920,1542.84221311475
1921,1549.57579908676
1922,1628.81997716895
1923,1520.99269406393
1985,1589.79006282125
1986,1568.47351598174
1987,1449.15365296804
1988,1548.06025506026
1989,1630.99252832008
1990,1539.41130136986
1991,1465.93550228311
1992,1672.80202641166
1993,1681.21095890411
1998,1607.47226027397
1999,1563.68538812785
2000,1499.52293233083
2001,1683.75540998947
2002,1600.26376671888
2004,1845.04675888876
2005,1554.58242009132
2008,1638.63535974499
2009,1653.21073059361
2010,1517.36221461187
2011,1655.97895348837
2012,1630.81432149362
2013,1532.91678082192
2014,1448.95525114155
2015,1587.06575342466
2016,2139.92657103825
2017,2014.58310502283
2018,1668.58847031963
