"year","lsl_max"
1936,1692.20776411658
1937,1679.24646118721
1938,1783.41095890411
1939,1786.81260464004
1940,2203.07069672131
1941,1754.79349315068
1942,1757.86175799087
1944,1721.38812187574
1945,1665.90007215007
1946,1658.43550228311
1947,2223.83607305936
1948,1649.97119763206
1949,1709.95
1950,1635.85205479452
1951,1711.62579908676
1952,1737.06477686703
1953,1804.90353881279
1954,1805.27762557078
1955,1626.45148401826
1956,1679.57525045537
1957,1723.14863013699
1958,1746.50947488584
1959,1758.37882846163
1960,1866.29834383018
1961,1711.44872389791
1962,1758.98350915484
1963,1741.99807042933
1964,1724.54443910641
1965,1662.28675799087
1966,1635.19394977169
1967,1697.36330253494
1968,1666.78403916211
1969,1810.25365296804
1970,1701.81952054795
1971,2008.97294520548
1972,1787.83020605502
1973,1742.60099089757
1976,1608.98694219067
1980,1722.4144721777
1981,1928.89383561644
1982,1672.49347951529
1983,1748.00941338537
1984,1774.23076047359
1985,1709.325
1986,1808.40662100457
1987,1786.23173515982
1988,1696.82164421737
1989,1741.70657925006
1990,1715.95159817352
1991,1675.60205479452
1992,1722.79496812386
1993,1938.86883561644
1994,1756.99623287671
1995,1674.29077932543
1996,1648.37514279187
1997,1619.65547945205
1998,1725.18424657534
1999,1736.78116438356
2000,1659.39113772455
2001,1850.13224869262
2002,1720.11426940639
2003,1769.4946347032
2004,1605.53005464481
2005,1761.93196347032
2006,1656.99920091324
2007,1714.79520547945
2008,1712.55612477231
2009,1836.15034246575
2010,1821.47579908676
2011,1578.88207762557
2012,1766.85348360656
2013,1609.70901826484
2014,1567.56981681427
2015,1866.50296803653
2016,2506.26309198543
2017,2373.78961187215
2018,1865.53082191781
