"year","lsl_max"
1958,938.116095890411
1959,914.009360730594
1960,846.581739526412
1961,2602.13139269406
1962,758.105821917808
1963,1068.54097572699
1964,826.7321902922
1966,876.67374301676
1967,849.41598173516
1968,785.252579914422
1969,1278.62328767123
1970,1053.4845890411
1971,1466.67385844749
1972,818.759448998178
1973,1031.18499937288
1974,860.384348630216
1975,826.070662100457
1977,897.517687464224
1978,855.981530343008
1980,1299.5660291439
1981,898.361963190184
1982,864.490525114155
1983,2422.23162100457
1984,969.05885701275
1985,820.585844748858
1986,1057.2453196347
1987,776.974657534246
1988,1083.07525045537
1989,1425.87568493151
1990,1070.87408675799
1991,927.209841156097
1992,802.34266848816
1993,1046.38310502283
1994,772.657648401826
1995,830.800902360018
1996,1045.48349271403
1997,896.509474885845
1998,1385.60342465753
1999,702.576712328767
2000,688.406167904055
2001,951.422831050228
2002,1113.41963459759
2003,1904.52442922374
2004,936.031762295082
2005,1023.05479452055
2006,1303.774543379
2007,907.729726487524
2008,2491.16522141288
2009,896.469063926941
2010,1006.78390410959
