"year","lsl_max"
1904,663.944400136721
1905,746.376255707763
1906,1112.65787671233
1907,604.736872146119
1908,848.461520947177
1909,656.883789954338
1910,938.688698630137
1911,592.552739726027
1912,851.780054644809
1913,632.367694063927
1914,650.174315068493
1917,624.216324200913
1918,659.924429223744
1919,1312.89897260274
1920,733.065346083789
1921,756.09211478177
1922,598.436187214612
1923,984.302397260274
1924,684.642418032787
1925,587.623173515982
1926,579.023858447489
1927,769.412557077625
1928,617.344034608379
1931,581.83595890411
1932,1333.19637978142
1933,941.87785986654
1934,1728.27511415525
1935,605.356645917246
1936,854.082081056466
1937,632.792465753425
1938,858.665753424658
1939,544.503196347032
1940,803.706397996357
1941,1554.01358447489
1942,1612.41210045662
1944,840.782445355191
1945,672.834931506849
1946,879.577397260274
1947,934.509246575343
1948,599.31693989071
1949,1373.46826484018
1950,695.25399543379
1951,605.241324200913
1952,759.750341530055
1953,700.055936073059
1954,658.202511415525
1955,548.06598173516
1956,736.666903157148
1957,1609.9105022831
1958,828.273858447489
1959,556.025570776256
1960,632.702071948998
1961,2491.43812785388
1962,608.990296803653
1963,1319.2102739726
1964,814.877618397086
1965,706.374543378995
1966,739.91700913242
1967,815.711757990868
1968,619.288532961931
1969,969.853767123288
1970,792.880136986301
1971,992.865753424657
1973,951.753146287957
1974,640.638127853881
1975,574.678298279159
1977,830.952768921951
1978,589.154108381333
1980,1009.30079155673
1981,680.561073059361
1982,710.171550530688
1983,1404.7953196347
1985,648.390193607515
1986,721.295433789954
1987,565.525684931507
1988,794.538178895396
1989,967.786415525114
1990,677.992465753425
1991,688.62899543379
1992,702.058743169399
1993,783.136187214612
1994,574.7817348378
1995,722.511301369863
1996,974.259790528233
1997,830.748173515982
1998,1317.10445205479
1999,494.595722543353
2000,598.040755919854
2001,826.163926940639
2002,946.241780821918
2003,1295.7649543379
2004,768.287340619308
2005,863.761529680365
2006,1072.43401826484
2007,677.141095890411
2008,2561.29149472719
2010,808.67203196347
2011,646.753767123288
2012,549.5845856102
2013,581.297488584475
2014,572.510045662101
2015,779.868835616438
2016,677.258993624772
2017,789.946803652968
2018,793.33299086758
