"year","lsl_max"
1980,600.6751704976
1981,507.499885844749
1982,553.468721461187
1983,511.731051906293
1984,629.652094717668
1985,1240.67876712329
1986,497.50399543379
1987,633.376141552511
1988,579.388228571428
1989,497.852853881279
1990,531.750443599493
1991,561.137356186898
1992,863.762863795111
1993,465.708333333333
1994,557.236301369863
1995,551.440525114155
1996,677.248633879781
1997,1032.97808219178
1998,635.731621004566
1999,625.485273972603
2000,483.335496357013
2001,584.708789954338
2002,1155.31723744292
2003,722.185844748858
2004,872.337503158959
2005,1526.72905942911
2010,610.844178082192
2011,872.254794520548
2012,1440.39179327671
2013,457.082420091324
2014,477.120547945206
2015,594.779337899543
2016,427.761156648452
2017,730.203424657534
2018,757.148059360731
