"year","lsl_max"
1913,546.517361948396
1914,588.809915467215
1915,568.431621004566
1916,584.642987249545
1917,580.329680365297
1918,554.086415525114
1919,552.151734790875
1920,551.779940801457
1921,526.121689497717
1922,515.367351598174
1923,537.715410958904
1924,537.150273224044
1925,494.953439021346
1926,656.190291262136
1927,534.23002283105
1928,584.673155737705
1929,569.85194063927
1930,529.801141552511
1931,542.053424657534
1932,648.71766848816
1933,738.889497716895
1934,629.839155251142
1935,539.165525114155
1936,576.814663023679
1937,589.102853881279
1938,568.503767123288
1939,558.261073059361
1940,588.354166666667
1941,523.869292237443
1942,621.891324200913
1943,595.003652968036
1944,902.440004553734
1947,641.478082191781
1948,673.186589253188
1949,674.696803652968
1950,559.752814314492
1951,567.940410958904
1952,554.90350877193
1954,623.319863013699
1955,527.42203196347
1956,621.608151183971
1957,627.639611872146
1958,641.027853881279
1959,514.440296803653
1960,528.214480874317
1961,511.004794520548
1962,588.218607305936
1963,586.7649543379
1964,598.376024590164
1965,940.010502283105
1966,690.331164383562
1967,508.226712328767
1968,537.504098360656
1970,572.344292237443
1971,624.307040572792
1972,649.765075376884
1973,616.359931506849
1974,631.225456621004
1975,578.435862411524
1976,541.6764571949
1977,574.266602153139
1978,557.258564338458
1979,542.235062215104
1980,539.824151769427
1981,661.453196347032
1982,564.78401826484
1983,542.431502564744
1984,580.66473132969
1985,547.11884342073
1986,535.77305936073
1987,640.141780821918
1988,552.067509107468
1989,563.214840182648
1990,632.282305936073
1991,573.602511415525
1992,574.957190306311
1993,543.171689497717
1994,542.209589041096
1995,620.517123287671
1996,571.798383424408
1997,505.546803652968
1998,766.942579908676
1999,603.705593607306
2000,531.277447392498
2001,699.283561643836
2002,551.318150684931
2003,535.221659919028
2004,575.937841530055
2005,1153.60901826484
2006,591.929548970606
2007,589.202283105023
2008,636.10075136612
2009,640.645662100457
2010,616.817237442922
2011,558.689726027397
2012,574.294968123862
2013,533.843264840183
2014,560.915095430885
2015,601.690699017909
2016,647.547586520947
2017,960.714383561644
2018,549.352397260274
