"year","lsl_max"
1919,1421.96129837703
1921,1340.75248429469
1922,1539.43892694064
1937,1345.47486618571
1939,1518.78824200913
1948,1444.82092440801
1949,1344.90342465753
1953,1659.4095890411
1954,1326.40756674681
1955,1384.72054794521
1956,1544.13877504554
1957,1339.71575342466
1958,1352.59817778297
1959,1409.14189497717
1960,1501.31238615665
1961,1725.28745644599
1962,2185.17534246575
1965,1422.94052511416
1966,1407.0450913242
1967,1493.26202649314
1968,1414.03198998179
1969,1523.79805936073
1970,1373.20034246575
1971,1351.92363013699
1972,1555.72666211293
1973,1504.66655251142
1976,1339.26259034071
1977,1755.62751141553
1978,1362.91902786011
1980,1733.84143435787
1981,1530.88835616438
1982,1326.33789954338
1983,1372.10285388128
1984,1728.34016393443
1985,1794.80296803653
1986,1482.30136986301
1987,1436.40970319635
1988,1332.41051912568
1989,1502.39098173516
1990,1338.10776255708
1991,1634.90479452055
1992,1934.51571038251
1993,1382.37614155251
1994,1779.5407974038
1995,1415.06381278539
1996,1681.21163479053
1997,1545.31417050691
1998,1834.51826484018
1999,1304.65878995434
2000,1546.33727594196
2001,1311.38664383562
2002,1333.9796803653
2003,1564.78721461187
2004,1324.92133424408
2005,1400.12203196347
2006,1486.86552511416
2007,1375.76906392694
2008,1573.20116120219
2009,1576.65502283105
2010,1242.75867579909
2011,1655.89543378995
2012,1865.87021857923
2013,1449.00559360731
2014,1370.87739726027
2015,1543.15479452055
2016,1996.28825136612
2017,1404.43698630137
2018,1603.19349315068
