"year","lsl_max"
1929,1184.82579908676
1930,1142.85399543379
1931,1223.06152968037
1932,1399.3378870674
1933,1155.62271689498
1934,1147.87773972603
1935,1191.21849315068
1936,1247.54690346084
1937,1207.19657534247
1939,1301.71712328767
1940,1276.48656648452
1941,1258.89337899543
1942,1195.05034246575
1944,1556.90960837887
1945,1213.43285714286
1946,1222.81130136986
1947,1269.15068493151
1948,1184.46061020036
1949,1274.43315758641
1950,1389.35673515982
1951,1252.59726027397
1952,1193.7349726776
1953,1408.96655251142
1954,1264.94326484018
1955,1213.71552511416
1956,1233.49544626594
1957,1308.85034246575
1958,1289.45205479452
1959,1227.77111872146
1960,1228.62807377049
1961,1202.28789954338
1962,1273.63812785388
1963,1253.31506849315
1964,1570.16438979964
1965,1138.33755707763
1966,1177.94086757991
1967,1215.18059360731
1968,1237.46766848816
1969,1191.43344748858
1970,1147.39132420091
1971,1197.3707948244
1972,1118.17065118397
1974,1205.60342465753
1975,1264.44920091324
1976,1125.11896630237
1977,1191.67591324201
1978,1267.20273972603
1979,1219.800456621
1980,1197.4595856102
1981,1422.43299086758
1982,1107.84372146119
1983,1192.11678082192
1984,1383.44421675774
1985,1197.73409537005
1986,1188.70856164384
1987,1162.76449771689
1988,1177.49724896836
1989,1217.57842465753
1990,1116.60416666667
1991,1135.91301369863
1992,1136.30613213142
1993,1256.76563926941
1994,1246.33744292237
1995,1188.2621013994
1996,1228.96422801754
1997,1158.75639269406
1998,1236.99688975924
1999,1134.96259956135
