"year","lsl_max"
1948,946.875715648855
1949,888.347945205479
1950,1466.61175799087
1951,1010.18984018265
1952,944.211904761905
1953,1520.19979006298
1954,2208.18264840183
1955,1059.92305936073
1956,1290.42133424408
1957,977.928082191781
1958,1305.96731718787
1960,1271.9743852459
1961,1237.02840293657
1962,1228.14634703196
1963,1078.39166666667
1964,941.45514571949
1965,865.663837872071
1968,1466.7534229977
1973,919.391013824885
1975,900.25296803653
1976,1099.01605191257
1978,1567.74315068493
1979,1212.98139269406
1980,996.796245421245
1981,833.07015499359
1983,903.144292237443
1984,1126.17531876138
1985,851.773806609547
1986,950.111030915434
1987,1270.24798433541
1988,1222.12585812357
1989,932.172716894977
1990,999.277511415525
1992,1353.84724137931
1995,994.155121721745
1996,1038.84676684882
1997,990.927283105023
1998,1032.29863013699
1999,826.051039697543
2001,1024.79537121907
2002,1142.60399543379
2007,1178.44248922037
2008,1041.3407975846
2009,984.846575342466
2010,1163.09391137264
2011,1051.61837899543
2012,1659.9668715847
2013,974.801141552511
2014,974.972228843862
2015,851.779223744292
2016,999.563638433516
2017,1007.71799652001
2018,1099.38744292237
