"year","lsl_max"
1965,896.903370786517
1969,1136.55896892655
1970,1064.65246290801
1971,1052.41526644263
1972,1197.31949626866
1973,1225.5799086758
1975,944.939611872146
1976,1103.16086311223
1977,1016.88892729577
1978,1373.63320895522
1979,1236.0980778138
1980,1013.69901126696
1981,1018.03652968037
1982,1098.42947903431
1983,1039.90456621005
1984,1028.02978526899
1985,1025.86723744292
1986,1080.07134703196
1987,1299.9149543379
1988,884.884107468124
1989,974.765639269406
1990,1071.56130136986
1991,1858.31210045662
1992,1493.59505919854
1993,1178.49585635359
1994,985.608031317086
1995,1235.60649529493
1996,1054.77322404372
1997,1116.29760273973
1998,1107.48858447489
1999,960.77458965042
2001,1303.20764840183
2002,1188.30194063927
2003,1174.67260273973
2005,1272.03812035483
2006,1121.19807556912
2007,1289.70011415525
2008,1034.62602459016
2009,1088.52796803653
2010,1108.32465753425
2011,1124.73116438356
2012,1173.77515938069
2013,1457.24520547945
2014,1353.88253424658
2015,1579.68450536353
2016,1191.9818989071
2017,978.655821917808
2018,1576.45650684932
