"year","lsl_max"
1966,763.058219178082
1967,694.992465753425
1968,721.713771063335
1970,724.725625864889
1971,875.253424657534
1972,1109.16302367942
1973,723.740044376971
1974,1015.17431506849
1976,705.336276083467
1977,767.656337371855
1978,849.977283105023
1979,736.738205902858
1980,731.704007285975
1981,724.085616438356
1982,933.26095890411
1983,764.632099987625
1984,649.42349726776
1985,947.044748858448
1986,682.999534016775
1987,1034.06504468719
1989,681.57512708358
1990,689.777054794521
1991,835.518264840183
1992,790.331981929804
1993,1201.11415525114
1994,816.739416407558
1995,963.718588842007
1996,1102.67975865209
1997,724.693949771689
1998,822.098287671233
1999,1115.73915525114
2001,1308.56398457903
2002,723.21700913242
2003,776.460182297913
2005,903.790439817667
2007,759.381249278374
2008,984.958566760037
2009,779.341552511416
2010,886.043430656934
2011,845.586613713351
2012,882.490892531876
2013,664.739954337899
2014,662.28595890411
2015,821.999086757991
2016,1308.35166211293
2017,1474.05776255708
2018,828.02203196347
