"year","lsl_max"
1939,935.506849315068
1940,1078.41268214936
1941,965.579680365297
1942,1345.63310502283
1943,1095.60605022831
1944,1770.29678961749
1946,946.522831050228
1947,1390.7897260274
1948,1029.81466302368
1949,913.674885844749
1950,1969.2703196347
1951,1148.07591324201
1952,942.345059198543
1954,2303.37123287671
1955,1135.52842465753
1956,1136.84153005464
1957,925.070091324201
1958,1230.26632420091
1959,1142.29235159817
1960,1668.83982240437
1961,1214.26552925628
1962,1223.29703196347
1963,1289.98173515982
1965,912.86404109589
1966,1329.55376712329
1968,1525.32566351521
1969,1046.61628322804
1970,1156.58310502283
1971,943.520655354008
1972,1322.4960154827
1974,1369.72180365297
1976,1107.40629370629
1980,1086.66388599235
1981,846.318030910132
1982,840.134586552877
1983,992.068607305936
1984,1125.10018531388
1986,1045.3927547862
1987,1441.75285388128
1988,1323.00432604736
1989,1026.08253424658
1990,1191.29783105023
1991,1507.53698630137
1992,1411.00147996357
1993,1088.10286833314
1994,1180.68360983645
1995,1037.9752605658
1996,990.023907103825
1997,1072.83059360731
1998,1013.09885844749
1999,869.919292237443
2000,935.553847905282
2001,1073.52134703196
2002,1194.23926940639
2003,1036.48148148148
2004,949.986154213416
2005,1199.86465364121
2006,1229.95673515982
2007,1309.9397260274
2008,1128.10272015899
2009,971.577283105023
2010,1017.9698630137
2011,1349.99647887324
2012,1841.16959269663
2013,1017.42442922374
2014,964.375342465753
2015,897.129832935561
2016,1027.70901639344
2017,1062.64988584475
2018,1125.70742009132
