"year","lsl_max"
1921,1394.81249220795
1928,1446.35052367942
1929,1523.35627853881
1930,1329.04292237443
1931,1613.92956621005
1932,1767.53016848816
1933,1584.66837899543
1934,1264.16312785388
1935,1648.08230593607
1936,1414.69307832423
1937,1483.86118721461
1938,1679.91061643836
1939,1406.33515981735
1940,1397.19045992714
1941,1243.72237442922
1942,1392.5154109589
1943,1628.31803652968
1944,1764.09631147541
1945,1438.74828767123
1946,1381.88881278539
1947,1454.60034246575
1948,1348.51331967213
1949,1326.8850456621
1950,2111.7394977169
1951,1422.87260273973
1952,1327.68954918033
1953,2149.49737442922
1954,1475.31792237443
1955,1687.98367579909
1956,1337.0956284153
1957,1381.3299086758
1959,1626.32614155251
1960,2331.11600637523
1961,1842.4647260274
1962,1986.41632420091
1963,1415.67134703196
1964,1257.22996357013
1965,1374.85456621005
1966,1780.18333333333
1967,1367.51997716895
1968,1795.66757741348
1969,1605.33812785388
1970,1463.92077625571
1971,1371.36484018265
1972,1576.95992714026
1978,1826.26050228311
1979,1521.49347553325
1980,1728.66102088167
1981,1398.41245649826
1982,1322.39657534247
1983,1373.49828767123
1984,1802.36362578543
1986,1480.25433789954
1998,1484.86130136986
1999,1395.81678082192
2000,1308.4227003643
2002,1577.4196347032
2003,1503.64086757991
2005,1391.61952054795
2006,1480.15479452055
2007,1535.3852055422
2008,1467.9522996357
2009,1496.76130136986
2010,1682.45114155251
2011,1966.68630136986
2012,3384.77322404372
2013,1384.35
2014,1445.99851598174
2015,1395.88915525114
2016,1559.9339708561
2017,1408.62146118721
2018,1646.23207762557
