"year","lsl_max"
1924,515.371357012751
1925,553.944520547945
1926,2613.57557077626
1927,557.280136986301
1928,542.704348816029
1929,577.995890410959
1930,583.099200913242
1931,602.45
1932,902.303164845173
1933,741.751598173516
1934,848.838698630137
1935,553.820319634703
1936,531.531762295082
1938,483.455950920245
1939,765.094748858447
1940,918.138775045537
1941,580.747716894977
1942,449.073744292237
1943,552.005821917808
1944,532.232126593807
1945,574.19703196347
1946,660.777054794521
1947,1066.45673515982
1948,622.178278688525
1949,628.18196347032
1952,684.491234061931
1953,658.678538812786
1954,544.677625570776
1955,673.164611872146
1956,874.411429872495
1957,562.361872146119
1958,557.998744292237
1959,748.868607305936
1960,642.858720400729
1961,580.145205479452
1962,517.533789954338
1963,520.394063926941
1964,598.941484517304
1965,940.942351598173
1967,545.564019643071
1968,512.449339708561
1969,1087.57482632756
1970,672.276826484018
1971,683.354109589041
1972,620.072687728938
1973,723.031509695291
1974,778.38436329588
1975,498.032648401826
1977,601.160113748764
1978,460.562785388128
1979,1505.38638454462
1980,552.853149286625
1981,542.421347031963
1982,601.400137504297
1983,596.569748858447
1984,534.831739526412
1985,847.47602739726
1986,637.690182648402
1987,558.149660688318
1988,667.82206284153
1989,607.292922374429
1990,578.171232876712
1991,531.545776255708
1992,678.608151183971
1994,730.665867032214
1995,1616.45684931507
1996,610.612331274308
1997,677.849426386233
1998,1301.69357884797
1999,577.371347031964
2000,586.64842321755
2001,643.324072984108
2002,1126.53173515982
2003,651.245776255708
2005,1703.5478200532
2006,723.472945205479
2007,619.044953051643
2008,1078.34287043498
2009,934.843150684932
2010,506.016780821918
2011,777.896118721461
2012,911.972966269841
2014,655.162785388128
2015,825.162557077625
2016,521.510018214936
2017,961.554908675799
2018,789.398401826484
