"year","lsl_max"
1945,837.359817351598
1946,579.512899543379
1951,525.311757990868
1952,578.635815118397
1953,676.756515264334
1954,598.413857213684
1955,460.426477654973
1956,523.75147996357
1957,638.87899543379
1958,680.033561643836
1959,469.818378995434
1960,462.801343351548
1961,1231.53470319635
1962,545.896803652968
1963,613.787671232877
1964,605.594376138434
1965,599.185273972603
1966,596.124429223744
1968,492.420309653916
1969,663.647602739726
1970,520.862785388128
1971,650.748009650181
1973,540.923831436183
1977,995.882659389729
1978,502.57245787333
1979,622.874253600281
1980,1500.42598778943
1981,434.797479954181
1982,620.910388127854
1983,488.090296803653
1986,540.976826484018
1987,519.031849315068
1988,1037.63513205829
1989,586.377511415525
1990,532.835273972603
1991,522.318721461187
1992,573.060906193078
1993,519.354109589041
1994,461.394406392694
1995,630.064497716895
1996,818.577755009107
1997,536.41198630137
1998,866.091666666667
1999,471.718157804066
2000,470.737932604736
2001,502.920319634703
2002,687.785566773749
2003,686.720331186752
2004,611.727003642987
2005,732.677824773414
2006,558.008219178082
2007,563.906278538813
2008,907.612021857924
2009,587.145662100457
2010,934.758789954338
2011,557.012671232877
2012,435.770833333333
2013,532.422831050228
2014,502.774657534247
2015,598.760273972603
2016,474.973816029144
2017,650.596803652968
2018,613.204680365297
