"year","lsl_max"
1912,2291.37693886861
1913,2334.41655251142
1914,2289.54623287671
1915,2268.24212328767
1916,2153.91928506375
1917,2244.01997716895
1918,2425.88002283105
1919,2352.48207762557
1920,2095.13752276867
1921,2050.57705479452
1922,2295.88162100457
1924,2088.15903916211
1925,2115.80639269406
1926,2152.46837899543
1927,2300.54828767123
1928,2273.2718579235
1929,2153.95433789954
1930,2196.6897260274
1931,2495.15319634703
1932,2248.76024590164
1933,2229.11038812785
1937,2242.09543378995
1938,2109.18938356164
1939,2122.24805936073
1940,2432.54371584699
1941,2167.02705479452
1942,2216.0095890411
1943,2172.49372146119
1944,2527.66848816029
1945,2489.86107305936
1947,2241.81326894331
1948,2076.55430327869
1949,2116.68285371703
1950,2332.40194063927
1951,2135.48184931507
1952,2165.5989298725
1953,2259.16358447489
1954,2309.2605022831
1955,2223.47773972603
1958,2472.61015981735
1960,2305.46892076503
1962,2182.2299086758
1963,2422.65810502283
1964,2209.71140710382
1965,2080.99029680365
1966,2186.67420091324
1967,2288.10331050228
1968,2302.23292349727
1969,2237.95114155251
1972,2457.12625298329
1973,2329.475
1974,2294.21484018265
1975,2115.00445205479
1976,2502.65066166998
1977,2320.09394328393
1978,2652.60787671233
1979,2404.27572112577
1980,2181.60348360656
1981,2227.68789954338
1982,2347.81404109589
1983,2210.5700913242
1984,2142.6362704918
1985,2177.15331050228
1986,2358.90433789954
1987,2429.58493150685
1988,2062.96630236794
1989,2166.30148401827
1991,2328.35319634703
1992,2157.62317850638
1993,2126.43276255708
1994,2301.6147260274
1995,2304.42773972603
1996,2148.23770491803
1997,2293.15673515982
1998,2126.52408675799
2000,2268.61304644809
2001,2197.67617084622
2002,2331.73207762557
2003,2287.67470313062
2004,2217.54405737705
2005,2273.71107305936
2006,2257.12157534247
2007,2465.84609945793
2008,2229.00525774374
2009,2221.92762557078
2010,2262.30114155251
2011,2280.54942922374
2012,2360.38592896175
2013,2271.0950913242
2014,2341.35422374429
2015,2239.39589041096
2016,2226.55362021858
2017,2313.29212328767
2018,2459.36826484018
