"year","lsl_max"
1938,420.094292237443
1948,386.199149893737
1949,635.852054794521
1950,482.698909765716
1951,367.64644733836
1952,523.295878870674
1953,401.363698630137
1964,465.885245901639
1965,481.000465441005
1966,534.951940639269
1967,1216.90956340956
1968,458.452413479053
1969,552.095890410959
1970,413.56546025835
1971,916.549086757991
1972,468.485086520947
1973,526.467013888889
1974,534.733841181902
1975,335.633472609099
1978,450.908789954338
1980,1475.82894133822
1981,416.296917808219
1982,375.603767123288
1983,419.030821917808
1984,494.882855191257
1985,490.592123287671
1986,461.4350456621
1987,499.198850574713
1988,837.008408337281
1989,415.899543378996
1990,370.018493150685
1991,497.400784220532
1992,435.899505007483
1993,632.653196347032
1994,404.432762557078
1995,527.527981651376
1996,782.180327868852
1997,675.059931506849
1998,870.464269406393
1999,448.99303652968
2000,394.462431693989
2001,479.523515981735
2002,571.4
2003,467.418835616438
2004,509.621015482696
2005,573.654223744292
2006,563.55502283105
2007,460.824315068493
2008,623.838883785025
2009,512.201826484018
2010,637.071803652968
2011,377.515068493151
2012,384.98383424408
2013,394.349657534246
2014,411.633675799087
2015,529.39886511408
2016,398.493283242259
