"year","lsl_max"
1986,909.159246575342
1987,654.229566210046
1988,876.913592896175
1989,1076.99383561644
1990,827.477739726027
1992,583.006147540984
1993,720.306735159817
1994,541.569748858447
1995,690.69897260274
1996,885.546789617486
1997,803.077283105023
1998,1063.57041838539
1999,495.588470319635
2000,532.379098360656
2001,707.313851548802
2002,741.739799657953
2003,911.041241837553
2004,656.744080145719
2006,943.44303652968
2007,774.494191449814
2008,3994.53090950797
2009,727.819748858447
2010,728.907077625571
2011,581.359817351598
2012,672.104052823315
2013,588.228538812785
2014,679.726484018265
2015,702.754680365297
2016,676.781989981785
2017,814.268949771689
2018,784.083219178082
