"year","lsl_max"
1994,911.481655342804
1995,705.416666666667
1996,717.522882513661
1997,562.214891731037
1998,799.189726027397
1999,886.655707762557
2000,703.468010018215
2001,691.799543378996
2002,696.712671232877
2003,648.242237442922
2004,708.391962659381
2005,963.854680365297
2006,681.885958904109
2007,685.377397260274
2008,807.105305100182
2009,718.838584474886
2010,762.774315068493
2011,675.030365296804
2012,825.652663934426
2013,687.546118721461
2014,612.510730593607
2015,784.941095890411
2016,777.114023745151
2017,1335.82100456621
2018,675.981735159817
