"year","lsl_max"
1936,862.575136612022
1937,872.231506849315
1938,950.614726027397
1939,968.085388127854
1940,862.724157559199
1941,865.209589041096
1942,1015.12442922374
1943,963.327458139242
1944,1171.03107923497
1945,1077.38264840183
1946,1046.44292237443
1947,1069.17248858447
1948,915.214594717668
1949,1011.42146118721
1950,920.438470319635
1951,899.934817351598
1952,1159.41006375228
1953,1031.75662100457
1954,1835.35753424658
1955,1193.29315068493
1956,1021.23076047359
1957,1058.41689497717
1958,1061.12146118721
1959,1016.09212328767
1961,1066.07652769846
1962,1165.92075517076
1963,970.742099056604
1964,1027.99237249545
1965,988.698630136986
1966,945.359132420091
1968,958.795077912441
1969,1045.46506849315
1970,1002.30639269406
1972,971.934767759563
1973,1059.7296803653
1974,1016.75673515982
1975,927.099238546998
1976,1102.55510018215
1977,1114.88105022831
1978,1059.26369863014
1979,1235.09965753425
1980,1101.48269581056
1981,1119.85582191781
1982,1058.3502283105
1983,1050.42568493151
1984,1112.33469945355
1985,1203.80665553435
1986,1178.25261945884
1987,1354.58641552511
1988,1056.98804644809
1989,1203.72785388128
1990,1047.31460280374
1991,1097.7049086758
1992,1070.1614298725
1993,1530.11770785485
1994,1098.01015981735
1995,1039.39690423934
1996,1427.66147325009
1997,1089.03698630137
1998,1207.18219097832
1999,1400.12146118721
2001,1121.95079908676
2002,1089.00742009132
2003,1136.99406392694
2004,1116.23326502732
2005,1170.44737442922
2006,1203.70730593607
2007,1130.25605022831
2008,1284.06933060109
2009,1191.99109589041
2010,1180.95376712329
2011,1078.83915525114
2012,1144.49840619308
2013,1101.00947488584
2014,1044.52043378995
2015,1217.34109589041
2016,1596.95924408015
2017,1083.2855022831
2018,1613.14737442922
