"year","lsl_max"
1957,765.919308715653
1958,1009.32444703143
1959,1076.34235159817
1961,972.737328767123
1962,1069.33961187215
1963,1334.77734330075
1970,977.10485506382
1971,904.967358694348
1972,1374.3272996357
1973,1080.59589041096
1974,1362.92344949793
1975,859.109132420091
1976,1130.12989526412
1977,1013.68698630137
1978,1300.57363013699
1979,1247.9848173516
1980,974.749089253188
1981,821.236643835616
1982,745.298630136986
1983,1147.46095890411
1984,883.384107468124
1985,1104.90433789954
1986,1025.28698630137
1987,1266.45990593094
1988,753.972920027656
1989,752.706606813996
1990,1054.14688011218
1991,1809.00817125101
1992,1170.20833333333
1993,993.975684931507
1995,946.207876712329
1996,926.694216757741
1997,1241.76261592196
1998,899.496232876712
2000,984.737704918033
2001,1048.89337899543
2002,967.368721461187
2003,879.719520547945
2004,889.641848816029
2005,948.334931506849
2006,1077.53858447489
2007,1141.85628742515
2009,935.329794520548
2010,860.683904109589
2011,956.152397260274
2012,1330.90198087432
2013,919.085388127854
2014,889.832648401826
2015,845.724429223744
2016,987.037226775956
2017,977.246689497717
2018,1131.53824200913
