"year","counts","time_length","excesses"
1944,0,274,NA
1945,3,365,832.007186038554,530.061936808486,565.534732519676
1946,6,365,562.918330101517,578.460317682579,545.81185905294,543.165371137917,510.715289264451,513.866701564939
1947,0,0,NA
1948,0,308,NA
1949,3,292,506.746125425064,607.304094901335,541.201551271815
1950,3,326,523.70870203921,506.743963109529,510.104861934669
1951,2,365,522.518002119453,502.769932702179
1952,1,366,599.049389757043
1953,4,335,526.840354365356,679.880276801766,523.964798302849,527.40052318023
1954,3,336,567.634072873856,540.609435027386,608.543163782947
1955,0,346,NA
1956,1,366,523.240447131288
1957,2,365,643.521272955401,571.444850005703
1958,3,365,639.878293601004,679.938975704346,676.703889585947
1959,0,365,NA
1960,0,366,NA
1961,2,365,1230.50929622448,587.336146914566
1962,0,365,NA
1963,1,365,628.46629405726
1964,1,366,584.372647427854
1965,2,365,525.008897000114,586.718603855367
1966,1,365,571.333295311965
1967,0,310,NA
1968,0,366,NA
1969,3,365,666.55013117372,522.514885365576,601.819094331014
1970,1,365,524.324697229641
1971,4,344,584.457239718519,554.658349891831,503.450073175877,618.039556465486
1972,3,312,517.461707714488,522.260612699089,558.591992699897
1973,1,343,560.377515746068
1974,1,142,578.20777138161
1975,0,0,NA
1976,1,289,557.860904952415
1977,1,333,992.010199570534
1978,0,357,NA
1979,1,354,622.633413556722
1980,1,361,607.949635474028
1981,0,363,NA
1982,1,365,606.784646971598
1983,1,365,511.599178738451
1984,0,157,NA
1985,2,202,527.535030670228,669.740585076749
1986,3,365,545.805976959051,506.697958252538,535.910801870651
1987,1,365,519.513516596327
1988,1,366,1035.46378464697
1989,2,365,522.028059769591,583.316870080986
1990,2,365,517.745637048021,508.037869282537
1991,1,365,517.921181704118
1992,1,366,568.343104824912
1993,1,365,516.173035245808
1994,0,365,NA
1995,3,365,629.613436751454,564.16516482263,548.380974107448
1996,1,366,785.209193566785
1997,1,365,556.120907950268
1998,3,365,859.433413228239,546.574282396712,521.027915338426
1999,0,362,NA
2000,0,366,NA
2001,0,365,NA
2002,2,362,547.720340168872,686.480805550417
2003,5,362,558.053863609046,640.522210820178,512.709706855253,674.817611497662,504.64617314931
2004,3,366,598.922322345158,528.166077335462,554.410060453975
2005,3,344,649.442130577073,769.616648656234,635.446350948922
2006,2,365,534.874187293259,533.884110870309
2007,1,365,558.625983802897
2008,7,366,521.451351659633,836.418273069465,920.48922094217,578.629976046538,509.586175430592,546.668415649595,545.8810311395
2009,2,365,559.581498802327,584.71472567583
2010,3,365,934.436523326109,608.244667503137,521.359301927683
2011,1,365,504.772213984259
2012,0,366,NA
2013,1,365,537.121136078476
2014,0,365,NA
2015,1,365,572.58469259724
2016,0,366,NA
2017,1,365,656.80962701038
2018,1,365,613.140641040265
