"year","counts","time_length","excesses"
1937,1,305,435.391810197331
1938,1,365,414.786015740846
1939,0,59,NA
1940,0,0,NA
1941,0,0,NA
1942,0,0,NA
1943,0,0,NA
1944,0,0,NA
1945,0,0,NA
1946,0,0,NA
1947,0,0,NA
1948,1,333,413.302188634517
1949,1,365,620.26006615718
1950,1,359,524.443198311235
1951,0,364,NA
1952,1,366,540.586859815216
1953,1,365,408.556746891753
1954,0,235,NA
1955,0,0,NA
1956,0,0,NA
1957,0,0,NA
1958,0,0,NA
1959,0,0,NA
1960,0,0,NA
1961,0,0,NA
1962,0,0,NA
1963,1,263,456.338231564787
1964,2,366,449.389186722938,448.574883084293
1965,2,357,430.638369590986,465.882238645394
1966,1,365,511.56062507129
1967,3,360,438.964697999584,1081.19077305376,625.871621690699
1968,1,366,447.676172008669
1969,2,365,549.210448271929,427.39431960762
1970,0,357,NA
1971,3,365,413.900307973081,904.736625983803,416.177940002281
1972,2,366,446.49321318581,414.137789437664
1973,2,358,432.605518597518,539.180173553603
1974,2,360,426.438291965896,513.747804265998
1975,0,358,NA
1976,1,201,405.342397190691
1977,1,231,420.880240266322
1978,1,365,444.715192525759
1979,1,299,676.931775649215
1980,3,363,1486.90168326805,475.32747804266,446.663624957226
1981,1,365,421.809170753964
1982,0,365,NA
1983,1,365,445.286186837002
1984,1,366,483.939774153074
1985,2,365,445.11189688605,493.583095699783
1986,2,365,463.67366259838,412.630036422262
1987,1,362,496.203664801411
1988,1,351,826.696688077759
1989,1,365,409.650165392951
1990,0,365,NA
1991,3,348,415.997221515687,421.806962590171,481.442461732699
1992,1,360,441.878242122031
1993,1,365,627.521957340025
1994,0,365,NA
1995,2,362,532.324944701777,550.66202805977
1996,2,366,734.230523554237,459.743926086461
1997,3,365,423.580244097183,444.977643435611,688.292004106308
1998,3,365,860.101745180792,482.789665792175,495.499828903844
1999,2,365,423.423177825938,405.22208281054
2000,0,366,NA
2001,2,365,427.347667389073,462.834492985058
2002,3,365,494.549674917303,566.030683243983,421.449184441656
2003,3,365,427.76742329189,429.588000456256,453.986540435725
2004,2,366,493.329417132428,431.071632257329
2005,3,365,410.296794798677,614.796395574313,549.39831185126
2006,1,365,538.052925744268
2007,2,365,454.831527318353,426.099349834607
2008,3,362,455.603438885299,639.181743892713,407.410898677702
2009,3,365,411.442796851831,456.155013117372,498.657465495608
2010,4,365,637.046766282651,625.655412341736,519.998289038439,623.990532679366
2011,0,365,NA
2012,0,366,NA
2013,0,365,NA
2014,1,365,406.050302269876
2015,2,352,425.160029456481,496.623015654724
2016,0,366,NA
2017,0,237,NA
2018,4,199,565.530017142745,601.530017142745,407.530017142745,431.530017142745
