"","mu","sigma","xi"
"FernandinaBeach",1560.90251910702,85.1451283957696,0.177845583498654
"KeyWestFL",557.995391496531,42.6417312135696,0.256503973824198
"PortlandME",2212.78163048344,101.576963193049,-0.0901550847270622
"NewportRI",1216.73187999257,114.230319846114,0.0871045871001871
"DuckPierNC",1216.6222862599,107.859568330633,0.0251875682711097
"CharlestonSC",1394.46427204518,94.6317424986789,0.218201310666436
"AtlanticCityNJ",1390.4721315553,116.109635565799,-0.00344356038623982
"MontaukNY",991.206731576802,137.233507462305,0.246218717518313
"EastportME",3913.52388985922,83.476728532218,0.0338722807968922
"BostonMA",2279.96897972927,125.617390501071,0.0693495234365555
"WoodsHoleMA",946.539819598243,144.96392875404,0.0268993169947107
"NantucketMA",1073.53026566502,130.190273334223,0.0961235503539098
"NewLondonCT",1042.70084902423,154.221274707877,0.212420256477971
"NewYorkNY",1430.02331061347,140.296199684635,0.276627235805123
"CapeMayNJ",1501.36255558221,114.853962929038,-0.0755776638720294
"LewesDE",1414.85476125074,115.964064937881,0.207501373513341
"ChesapeakeBBT",1126.18238261413,133.815809776268,0.2069211571559
"WilmingtonNC",1032.8143112755,117.320853135649,0.0556805315359922
"FortPulaskiGA",1696.11527561395,82.8586119324463,0.16871698979414
"MayportFL",1190.4112188559,58.6946017782018,0.112394962457682
"VirginiaKeyFL",697.750235786856,88.5338986297999,0.11550198587051
"NaplesFL",760.861679146209,99.9027937907834,0.362556771894602
"StPetersburgFL",784.334804389644,130.60827657011,0.16198516237986
"ApalachicolaFL",659.347673122085,98.612987417989,1.0627071741555
"PanamaCityBeach",703.886931535432,165.70261496808,0.757388795386019
"PensacolaFL",591.079787735551,110.168348076628,0.407023950819218
"DauphinIslandAL",612.046486051046,105.266273237359,0.580075930645944
"GrandIsleLA",557.576105479055,117.064600096004,0.455191569553642
"SabinePassNTX",670.021476038432,140.397739012376,0.318063064156367
"GalvestonPPier",885.697702127251,160.586753193425,0.389126691009309
"RockportTX",443.908808060317,82.5787236105466,0.345507626017342
"CorpusCristiTX",696.589200169699,140.333432360856,0.214591171969577
"PortIsabelTX",538.303917064139,86.4494526567364,0.3269829205033
"ClearwaterBchFL",897.854348192388,99.616908704947,0.0951111663241256
"PortCanaveralFL",1127.22311076217,70.9711460545669,0.327433187014887
"GalvestonPier21",679.470341147088,139.452038428592,0.403863375281079
