"","mu0","mu1","sigma","xi"
"FernandinaBeach",1581.48543224913,-33.2217106679789,84.7414332133324,0.181705423129245
"KeyWestFL",564.249362573188,-10.9286273619441,42.5352489845524,0.258531473709227
"PortlandME",2264.00144851944,-89.5332174763332,98.6174884169718,-0.0734014284135184
"NewportRI",1215.67055249754,1.81063982387534,114.186660057105,0.0877519304030625
"DuckPierNC",1219.2648936881,-4.50426225308709,107.806499440831,0.0258448713307349
"CharlestonSC",1423.66527995244,-51.8058312780085,93.3669359064149,0.225514245699904
"AtlanticCityNJ",1380.95440012507,16.3993697364837,115.963732769171,-0.00203807026102445
"MontaukNY",1004.23324952973,-22.8370653405695,137.439839670546,0.242180967925801
"EastportME",3963.82042173442,-92.1484859929372,79.594016125181,0.0812221657210843
"BostonMA",2347.04838602618,-119.051204011924,121.668895177056,0.0903339795931017
"WoodsHoleMA",1008.31117146391,-118.873737255811,137.784132296526,0.0821308629881507
"NantucketMA",1144.8439613053,-126.385555508452,123.699600481977,0.134155652190799
"NewLondonCT",1031.7352177569,20.6957907990266,154.723436651877,0.205838364414767
"NewYorkNY",1431.71219656789,-2.83928889969394,140.381240404115,0.275541846330066
"CapeMayNJ",1521.59816128684,-35.7412367850381,114.262051215903,-0.070494461819115
"LewesDE",1405.98773313359,14.5856061297094,115.450348375117,0.215081218477871
"ChesapeakeBBT",1065.70671107622,100.093277305049,128.906562682574,0.252906901806508
"WilmingtonNC",1051.39227165333,-32.897836013814,117.246676095601,0.0545370837868802
"FortPulaskiGA",1726.69607634992,-55.2851799369151,81.0569912946365,0.184677402023721
"MayportFL",1226.43530172667,-62.4153883884992,57.4520507856028,0.106090772716431
"VirginiaKeyFL",715.934576910419,-33.5638388064751,87.5560192523751,0.128263278809609
"NaplesFL",777.477807811625,-31.2486025964378,98.8972712281761,0.374746159727514
"StPetersburgFL",773.458544911403,19.9445817393365,130.824451867778,0.158125532827563
"ApalachicolaFL",657.932108363917,2.68604139265805,98.7605980127274,1.05806354266183
"PanamaCityBeach",777.151664715477,-123.763486356481,159.398813864576,0.810961997678248
"PensacolaFL",579.95978629818,20.0914527398669,110.101873943912,0.403693689456669
"DauphinIslandAL",648.685089850256,-61.769136988816,100.85646337534,0.635271449115645
"GrandIsleLA",635.597336524519,-133.413436690182,104.935411947062,0.574342488379949
"SabinePassNTX",754.994008647725,-141.332863702639,131.208425667618,0.34842334944392
"GalvestonPPier",885.146900551838,1.07525535517788,160.607977099428,0.388899618264386
"RockportTX",502.575663489547,-96.8026361322044,81.3283046355242,0.31559516300832
"CorpusCristiTX",809.675293265251,-175.960123121325,137.471304886095,0.176109466181349
"PortIsabelTX",559.457834573809,-36.073948128785,86.5557966802259,0.314212298930999
"ClearwaterBchFL",815.673348788257,137.87840513564,88.5255336409277,0.200721097577654
"PortCanaveralFL",1103.5388543716,45.7885982254598,70.5412231456843,0.317557636825587
"GalvestonPier21",687.85007988851,-14.9719341761025,138.982681000876,0.41012414908248
