"","mu","sigma0","sigma1","xi"
"FernandinaBeach",1562.2829841263,4.12160037310114,0.521489054636457,0.161938018259664
"KeyWestFL",558.156364375344,3.54454320813366,0.358605389058579,0.256994782831361
"PortlandME",2212.77390832646,4.47369865831086,0.224242042519245,-0.0586979877274129
"NewportRI",1214.95518393666,4.94441458139008,-0.398055135599965,0.104180839397999
"DuckPierNC",1216.23921607699,4.60107899290596,0.125728072540836,0.0322881173179551
"CharlestonSC",1396.5696968342,4.20975997301946,0.595750976759725,0.204691073675826
"AtlanticCityNJ",1390.4708643388,4.92557173025291,-0.305054879017783,-0.000541653025998089
"MontaukNY",990.529077886064,5.12612092802732,-0.368582923361569,0.223361952150267
"EastportME",3915.02918894607,3.99316425719059,0.700149249679278,0.0844201635641611
"BostonMA",2280.37304601027,4.75705549749407,0.123872030071728,0.0819331144570645
"WoodsHoleMA",949.271489016436,4.32154031572616,1.06792691473049,0.0616315406100057
"NantucketMA",1078.6671768209,4.46837394739966,0.65397443846853,0.12118410111462
"NewLondonCT",1038.89808222314,4.79511737103187,0.398552497509236,0.227197669080515
"NewYorkNY",1424.3225288565,5.30570324992237,-0.715252053029083,0.298996059168905
"CapeMayNJ",1502.81667111328,4.56890213132339,0.309026802345045,-0.0808355638325465
"LewesDE",1412.10094987127,4.95213718617658,-0.393315432715866,0.242222425308272
"ChesapeakeBBT",1132.80737770851,5.34678227665098,-0.776534213578717,0.166076638363262
"WilmingtonNC",1032.55859625637,4.84068311999651,-0.135139702799988,0.0538423333848567
"FortPulaskiGA",1697.12582776039,4.09834689380491,0.534433497949648,0.179969586101107
"MayportFL",1190.07401608383,4.12037775165937,-0.0832386574995199,0.107189770653546
"VirginiaKeyFL",706.608600514966,3.14786997449332,2.23336828516962,0.0166437031363206
"NaplesFL",763.388264729177,4.12695901289813,0.874360805349113,0.283660977672915
"StPetersburgFL",783.934457960818,4.83518295626608,0.0615543048305916,0.165366737979589
"ApalachicolaFL",660.266026688824,4.67868643830125,-0.135961472408216,1.03092253371993
"PanamaCityBeach",699.288616898099,5.8909104093632,-1.24843830441225,0.553309365549099
"PensacolaFL",592.035395757208,4.83098269882203,-0.221999139614065,0.392143972844361
"DauphinIslandAL",611.583798064659,4.84428312024558,-0.28503467081645,0.518621568371052
"GrandIsleLA",561.435726827618,4.25210819852249,0.783880657846705,0.570018370400251
"SabinePassNTX",680.588089232441,4.43053739184482,0.81955919581728,0.329188580737753
"GalvestonPPier",883.098371381926,4.87694700803144,0.354016514686117,0.383444640386627
"RockportTX",447.445192924499,4.24419486673189,0.323751957826706,0.326628784043776
"CorpusCristiTX",693.038278242007,5.0254193780278,-0.150757924058193,0.223137405281582
"PortIsabelTX",538.150687290415,4.47423009717318,-0.0276462910035091,0.328076676969113
"ClearwaterBchFL",908.242753470362,5.20116366735068,-1.11017293522048,0.12238421772064
"PortCanaveralFL",1117.69647589231,3.31119224132241,1.70372981367924,0.211565967815457
"GalvestonPier21",678.024691121017,4.81589707390978,0.187983341531783,0.419797379611997
