"","mu","sigma","xi0","xi1"
"FernandinaBeach",1560.11305889891,85.4238488560997,-0.00228944345214296,0.232884358631492
"KeyWestFL",558.004401045637,42.7000730532445,0.153675711656146,0.174778740633677
"PortlandME",2215.51749160425,101.26948192653,0.0427746466201189,-0.244888353072126
"NewportRI",1217.44977078875,113.899892037476,-0.0314486755414967,0.247346021131457
"DuckPierNC",1217.91349496668,107.624048453927,0.301243277693994,-0.469756143913915
"CharlestonSC",1391.38322011888,95.118311831947,-0.154033127591411,0.539610819991057
"AtlanticCityNJ",1390.10762085438,116.351149394944,0.0727507726559966,-0.137822012632175
"MontaukNY",990.401983949604,145.723476568413,1.15461647996287,-1.81388809540292
"EastportME",3922.10285417451,85.9841648109686,0.811299491723515,-1.18545312463273
"BostonMA",2279.99894459112,125.532611664261,0.0793762374076125,-0.0151619758412501
"WoodsHoleMA",946.425200630106,145.115704327657,0.0116944511859586,0.0209372270781149
"NantucketMA",1070.34933959912,130.440781774129,-0.117543840587378,0.293107409489711
"NewLondonCT",1045.111880001,159.360656039832,0.928904617522612,-1.20930803024358
"NewYorkNY",1433.18797135916,141.539961816069,-0.0054240265822168,0.544668931900379
"CapeMayNJ",1501.17501763308,114.69435774778,-0.0877580661602909,0.0244493123773535
"LewesDE",1414.02356351369,114.518026247661,0.12869801029772,0.183483894470417
"ChesapeakeBBT",1121.26562425379,133.755994873901,0.601543423441786,-0.688076305285479
"WilmingtonNC",1032.23376646262,116.63088640089,-0.0972445002074226,0.25772238897379
"FortPulaskiGA",1695.83710598109,83.241552405247,0.105668147771198,0.0777987492283859
"MayportFL",1189.80605334469,56.7560380936624,0.427296660696488,-0.580764645760099
"VirginiaKeyFL",693.077044155807,86.8213089432716,-0.526401591253715,0.93879463108655
"NaplesFL",758.637853123663,100.416460071192,-0.0614191907245585,0.567915644264958
"StPetersburgFL",783.583952553963,131.944337561065,0.729939510206347,-0.934794580012904
"ApalachicolaFL",658.894028751525,98.2924282770693,1.11790179488136,-0.0772418571988438
"PanamaCityBeach",717.764911669921,177.973330236662,1.39459650559355,-1.02622195930644
"PensacolaFL",589.469959206598,109.740692135088,0.566908304710487,-0.305725272939416
"DauphinIslandAL",611.008914927855,101.07381930221,1.38673953858415,-1.10067609105474
"GrandIsleLA",567.205007444227,113.39359658863,1.35096615494875,-1.28937448731897
"SabinePassNTX",686.920424948602,183.890158032063,2.00124524844468,-2.83460117195508
"GalvestonPPier",886.612587609694,161.506786726737,0.478465861307123,-0.157830024379858
"RockportTX",439.828100575781,91.298551788423,-1.2614866768987,2.97368469307822
"CorpusCristiTX",695.959692057003,144.101445228547,0.00263171499165729,0.344077834146507
"PortIsabelTX",537.410756926255,88.2172264512753,-0.193411265253266,0.936956085430274
"ClearwaterBchFL",900.191419008366,105.257596686562,0.281228484596474,-0.34905604159495
"PortCanaveralFL",1126.96518534095,70.2765996803469,0.277450884963923,0.0786662384198523
"GalvestonPier21",674.965600868396,135.843883825001,0.820516939785052,-0.635898137731623
