"","mu0","mu1","sigma0","sigma1","xi"
"FernandinaBeach",1566.99707671872,-8.68044045097419,4.08166547092741,0.538094383565704,0.164025500342457
"KeyWestFL",562.543243600805,-8.19175861403872,3.73756488391093,0.0168678142858846,0.258005801259622
"PortlandME",2239.94971336184,-50.1899541621478,4.39750780296029,0.31173418998454,-0.0430965029057466
"NewportRI",1227.43863911385,-20.333680201155,5.12644553988731,-0.717815148204769,0.106747716017061
"DuckPierNC",1244.14450327326,-41.4103508295549,4.88542712336431,-0.318731669341923,0.0133785971782149
"CharlestonSC",1394.7402416716,3.11499725805544,4.14540654334735,0.679298192832436,0.196520583079762
"AtlanticCityNJ",1376.08714798125,23.8328408363201,5.03314372376653,-0.48826074281144,8.58114392975145e-05
"MontaukNY",1009.21362584429,-27.0120347478604,5.26863220847271,-0.586091801102179,0.205138594462434
"EastportME",3942.0321447278,-55.9233482662782,3.95181786030315,0.693810254405134,0.103951793441938
"BostonMA",2317.10439259136,-67.1068276040377,4.57592034736602,0.383938428136889,0.104026976678177
"WoodsHoleMA",967.895023669312,-41.9389459192549,4.44888340974049,0.796729084059929,0.0716365469314344
"NantucketMA",1095.16973315026,-36.3304536847542,4.25027751281776,0.943136619341544,0.0841773277149514
"NewLondonCT",1015.32081222218,45.2715090274834,4.83845729492405,0.322523591988333,0.221449286303015
"NewYorkNY",1425.69787432665,2.06091538057411,5.28252495362031,-0.642123605274601,0.301137185120561
"CapeMayNJ",1501.17728224832,0.588980602585765,4.69396797568417,0.0794443041066375,-0.0770393006993973
"LewesDE",1399.68070132938,21.8417487364883,4.87358917900895,-0.23767696126922,0.238135612689489
"ChesapeakeBBT",1114.18947634598,24.8857117527545,5.25516685106936,-0.622923921469435,0.180705719711155
"WilmingtonNC",1026.87037380304,11.8925090514132,4.54568147890974,0.387955544779451,0.0403990344175981
"FortPulaskiGA",1697.1512448402,-1.44053795747439,4.01373107293495,0.618603348110087,0.185930038963984
"MayportFL",1242.0580237309,-89.4362809667373,4.39035531099509,-0.623845097152879,0.0994780496919747
"VirginiaKeyFL",717.220318482762,-27.9991450070679,3.64717297810951,1.30064549740003,0.0415992137627703
"NaplesFL",752.397781841126,18.643641172946,4.22302150067514,0.649025725676966,0.315633547790902
"StPetersburgFL",770.38404365725,23.5194836164388,4.82960277612008,0.0706161056227691,0.164570215356623
"ApalachicolaFL",637.101196658445,36.7974318947204,4.30785427834211,0.449645691822974,1.05978804475856
"PanamaCityBeach",683.153946918855,36.4582294733435,5.37323031828954,-0.3511866710185,0.702999778867546
"PensacolaFL",577.696981193556,24.1233601305406,4.7268473682003,-0.0433828195746296,0.3998647334607
"DauphinIslandAL",656.879514507968,-65.581495781889,4.94718096294439,-0.444585304327052,0.57039936459772
"GrandIsleLA",632.597463342923,-122.276751857603,4.77753637625362,-0.207947359959162,0.601768812049034
"SabinePassNTX",720.277568483902,-78.4377426096173,4.75946846926131,0.23085876082935,0.338424282427645
"GalvestonPPier",821.09595179526,130.066538923426,4.52862297734793,1.00617110870418,0.358604644919961
"RockportTX",497.477311600002,-87.01924554004,4.54734257356753,-0.261059733630598,0.319259210640616
"CorpusCristiTX",810.471867573195,-167.48646100927,5.2652187713849,-0.571899527876726,0.216401215355885
"PortIsabelTX",562.962308371162,-41.5706287641902,4.72575406907851,-0.468046515745368,0.327839744622268
"ClearwaterBchFL",819.530532082521,124.52875595652,4.30107925148727,0.336154761163458,0.137084109473529
"PortCanaveralFL",1087.4835026063,69.3900299952295,3.91883226087508,0.51287169881044,0.273338854412131
"GalvestonPier21",667.754117574607,18.2829233715459,4.79569874263665,0.225345641249618,0.418415906452621
