"","mu0","mu1","sigma","xi0","xi1"
"FernandinaBeach",1595.57768923885,-58.2034412654702,81.8361079751485,-0.188786231105959,0.557550788262127
"KeyWestFL",560.780082855436,-4.61315286903754,42.6451184936969,0.173327960640864,0.140226520514269
"PortlandME",2228.72442591106,-24.1383372419448,100.552267814442,0.0286735117937936,-0.198809550916605
"NewportRI",1214.11127926911,5.33220214323256,113.772935421165,-0.028406860380804,0.246749483469179
"DuckPierNC",1240.10896444659,-35.5505633268794,108.186289511018,0.314741726407177,-0.487238794283964
"CharlestonSC",1435.08363139729,-75.1766334738679,89.8163837558139,-0.427977417368705,1.0824073660423
"AtlanticCityNJ",1372.60098737411,29.364504264381,115.66177677028,0.0557320754308835,-0.0997611521004924
"MontaukNY",988.091449933489,3.19488444281516,141.880296565596,1.35744105290417,-1.95429070051553
"EastportME",3925.86244319002,8.74082353223446,94.418303023008,1.10600737339932,-1.65342046368546
"BostonMA",2329.40045171557,-87.7431186129495,122.567239467012,0.0755251812060584,0.0318995368235684
"WoodsHoleMA",991.141620927301,-81.3770407998766,140.661185007079,0.046407932028593,0.0225764912386727
"NantucketMA",1128.56052843605,-104.125984808585,122.255265239854,-0.194181975706172,0.498715339502162
"NewLondonCT",1041.8903691963,6.02236828771423,158.807518283752,0.912690745860842,-1.1837845782977
"NewYorkNY",1419.729740216,21.3171498247183,141.072610933049,0.0182715952160289,0.51081756659531
"CapeMayNJ",1500.58754685406,0.971654356404272,114.705616789935,-0.0876630731089682,0.0239639232133545
"LewesDE",1394.32367053323,31.6133713856289,113.801505443748,0.164002266208528,0.135153774702306
"ChesapeakeBBT",1071.06650706667,85.0739895086716,127.066036560299,0.848356815139555,-1.00084542423905
"WilmingtonNC",1034.87276770089,-4.66545689280469,116.538923470808,-0.0992008420481254,0.261759859487685
"FortPulaskiGA",1746.0781867492,-90.3804267692072,77.995785645128,-0.147618270372156,0.545251528563837
"MayportFL",1224.24484152309,-58.7049690083087,57.4389341489686,0.163324867893973,-0.120634808734494
"VirginiaKeyFL",705.039047717085,-16.8209053687802,85.2086241753205,-0.519958006119075,0.93277713891938
"NaplesFL",791.520020329544,-61.1826304408554,93.6161326884939,-0.387338730453665,1.24589824812054
"StPetersburgFL",763.233703625196,35.513133877619,129.781699502497,0.733373642550879,-0.934941607006281
"ApalachicolaFL",650.815731813159,14.0491083165258,98.8844270575115,1.25473278448421,-0.287714660312749
"PanamaCityBeach",415.563434846887,482.608245998006,223.827805395343,1.82551809416716,-2.75039089044646
"PensacolaFL",523.035473977136,113.911747347952,104.069199020424,1.20858697000867,-1.3521784363301
"DauphinIslandAL",606.934137404871,8.6886955673527,102.299369617283,1.43263636552127,-1.17056823679899
"GrandIsleLA",606.111518919474,-77.4605308700007,105.047764706346,1.08633659518928,-0.813810578368327
"SabinePassNTX",740.274937298318,-45.1957748537469,186.367242504554,1.49898921377366,-2.37239131339502
"GalvestonPPier",881.034918225413,11.6530079779562,161.948009229584,0.502364672498707,-0.202664368445629
"RockportTX",443.122104985533,-7.23363513883634,85.3879422599789,-1.23606105601182,2.91976599393183
"CorpusCristiTX",798.006328378334,-144.181950607634,138.393189167975,-0.466558184185843,1.29609478932642
"PortIsabelTX",556.165926850912,-27.7626073871521,88.0025545478471,-0.289829799533207,1.1184532264557
"ClearwaterBchFL",827.738427525475,149.990506120068,129.517908395409,1.69690810909712,-2.35771451326825
"PortCanaveralFL",1062.91027397389,74.2851634639149,66.9044663353175,-1.49553606558649,2.9921048157652
"GalvestonPier21",653.68928438113,35.2310442298047,134.384110564511,0.978604022386302,-0.87023731229437
