"","mu","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1562.21391768585,4.03652915239851,0.616009197869985,-0.135658534972513,0.457116114525307
"KeyWestFL",557.851903571228,3.77507980326746,-0.035888219733307,0.16551050142634,0.15561981743575
"PortlandME",2206.39639306934,3.8908145051887,1.24374896426083,0.6085119933922,-1.22058605289941
"NewportRI",1213.13127026149,5.10364796475061,-0.681896055406314,-0.0676701160279202,0.309769589917281
"DuckPierNC",1217.96096735894,4.65462649889855,0.0374061591568307,0.31789214842,-0.495435333967967
"CharlestonSC",1396.87609919185,4.12893088211208,0.716803131116503,-0.26625714258802,0.791469693476059
"AtlanticCityNJ",1391.66543816233,5.04809970905374,-0.505929920935316,0.0308595939355619,-0.0576277405567511
"MontaukNY",1007.8550573871,5.2151688979094,-0.117933081579085,1.49213964435519,-2.33009360345863
"EastportME",3914.6718149734,4.03943878251372,0.67385132468191,1.41637710310184,-2.03146716978959
"BostonMA",2280.14939047229,4.29206450695052,0.854713828170885,0.332457406167429,-0.396245414728639
"WoodsHoleMA",947.5448069778,4.38173116352149,0.917367969362273,0.188303389044852,-0.197882150344955
"NantucketMA",1077.24373299601,4.23163108985337,0.995502457564289,0.117208160744585,-0.069529322635069
"NewLondonCT",1043.28008437883,4.99289195828502,0.12771140180561,0.924426863070938,-1.21450242607564
"NewYorkNY",1427.0716156568,5.33649371724032,-0.721903349251566,-0.0828387597272115,0.653286528803393
"CapeMayNJ",1501.51947846128,4.67585370558391,0.117276303897664,-0.047106694710756,-0.0612114404471865
"LewesDE",1411.18239066529,4.92303558705462,-0.351363277803821,0.119377286360499,0.2578954254386
"ChesapeakeBBT",1130.16341318592,5.24137069223112,-0.58892122791708,0.371813756401432,-0.311396893042267
"WilmingtonNC",1032.94643832044,4.62049535906346,0.235325408223321,-0.0648854706750264,0.199591720457554
"FortPulaskiGA",1698.12051627129,3.98393959560988,0.686612163040876,0.0267838034549449,0.248188873323326
"MayportFL",1188.81025475091,4.23654940788603,-0.373669202680022,0.607058989926634,-0.892914672481123
"VirginiaKeyFL",699.456689124312,4.12467686003718,0.527454134822937,-0.448323742350046,0.829373227602257
"NaplesFL",761.93050798538,4.21889927600362,0.63064534690206,-0.153485272557365,0.817927911495594
"StPetersburgFL",783.732253379403,4.8743958952405,0.0127743586884641,0.723237488661472,-0.926312122992665
"ApalachicolaFL",660.420581134151,4.64391108992309,-0.0733940501192656,1.15431599762016,-0.155066361740206
"PanamaCityBeach",675.711077494248,2.97025085355361,2.78026171908377,2.33692542989708,-2.95108345809161
"PensacolaFL",594.282069726171,4.96232702871822,-0.425485779826602,0.735970632308319,-0.573447746541721
"DauphinIslandAL",605.770418393845,4.42673733237673,0.213475553985258,1.45113281993935,-1.18965151096414
"GrandIsleLA",578.807826227947,4.33997624021718,0.84901956607076,1.79384886813422,-2.31090681159452
"SabinePassNTX",716.849839140836,5.55299033130702,-0.618648846850726,1.66065734161008,-2.40305480866061
"GalvestonPPier",881.865503794845,4.82491618366573,0.429647086501631,0.273948804154524,0.203265351806984
"RockportTX",441.801268478911,4.4657107208954,0.0915066683300001,-1.23531249858349,2.93949016685996
"CorpusCristiTX",696.302126422035,4.96476675704467,0.0059721265251808,-0.00975078863873068,0.367484054777242
"PortIsabelTX",537.491691456821,4.47155895295785,0.018840989587813,-0.209361380464881,0.971483479852937
"ClearwaterBchFL",853.373380374121,3.82370904607658,1.61210380266369,1.40189599587557,-2.1745265250579
"PortCanaveralFL",1120.44424177179,3.81561581319285,0.728630636065144,0.363806469849616,-0.148038238817728
"GalvestonPier21",676.928622924629,5.14402802309425,-0.36434145400741,1.09072747430127,-1.04667162140903
