"","mu0","mu1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1580.00214101361,-29.3932817059566,4.12412203538465,0.498371773159916,-0.332150416618566,0.786994902032506
"KeyWestFL",563.2586784997,-7.82054069650735,3.61179809165175,0.274265059677448,0.2429576960683,0.0348940567651468
"PortlandME",2239.55608256177,-45.8546889773586,4.40101516503014,0.314534123680471,0.589345094652573,-1.17207457243564
"NewportRI",1239.47028059382,-40.5306819769938,5.01857369165305,-0.527996326923647,-0.122946349467068,0.401923113248853
"DuckPierNC",1201.41320102734,17.5906030199256,3.988494813803,1.11358942937899,0.923673870587207,-1.44745483088456
"CharlestonSC",1427.30185365491,-57.6161889489501,4.36603300064776,0.253473078150023,-0.384259437292522,1.01385712016643
"AtlanticCityNJ",1386.84985406021,5.72973538149676,4.93607687311044,-0.323589741570597,-0.0333944306953343,0.0553113196041745
"MontaukNY",1023.04503488296,-50.6858609287675,5.25574044365155,-0.613276594355288,0.475491982855358,-0.506629088306625
"EastportME",3946.7044720105,-68.6466597277227,3.91083408068005,0.767606179707786,0.42903404384495,-0.562074380988896
"BostonMA",2340.1143065179,-110.803840836299,4.83088464711267,-0.0840739422972457,0.507868093940944,-0.725809464296872
"WoodsHoleMA",959.630908236827,-26.6386870369112,4.35552951990418,0.987222584740881,0.0952712277453348,-0.0201728610194565
"NantucketMA",1131.02416902993,-101.191813605386,4.64835456363061,0.306123410799151,0.124190291699817,0.0186520876343821
"NewLondonCT",991.074728453592,91.7992324608066,4.70526197556896,0.574852357006278,0.72699169171179,-0.934044154477521
"NewYorkNY",1489.23080707828,-102.022319369524,5.52564727483334,-1.07724188354391,-0.318527108121578,1.03334835712851
"CapeMayNJ",1524.09879866636,-42.0625354127842,4.66477452794471,0.0941980529380288,-0.213376176303058,0.299406939150089
"LewesDE",1430.06894764439,-37.9845002220463,5.06467987113887,-0.641448259276954,0.044533864834746,0.456847285899286
"ChesapeakeBBT",1070.21510453303,96.5941554238614,5.03620009989458,-0.3216523566691,0.583105528798437,-0.594011761332239
"WilmingtonNC",1051.86911239792,-35.1247961260361,4.86456890251027,-0.179572138838706,0.0894459565646596,-0.0625667119554379
"FortPulaskiGA",1732.95973327928,-61.6610264833359,4.21720980635238,0.305190474745265,-0.113309826682608,0.459953546345173
"MayportFL",1235.26611240441,-77.8452706245881,4.44153841243519,-0.698267921914034,0.324937188615298,-0.426138338230284
"VirginiaKeyFL",722.449913956533,-83.5132624294109,1.95279699408701,4.22125759765112,0.974313477572417,-1.43912963637188
"NaplesFL",775.401029795774,-23.3280832363821,4.26342591830198,0.55820264749296,-0.301673609196507,1.07327723766954
"StPetersburgFL",759.48417423773,41.3396828834183,4.69415118079098,0.295332624438971,0.609359042591437,-0.761823937375476
"ApalachicolaFL",679.505671754516,-33.0597989138507,5.2142505777761,-1.03598217246661,1.85470341356691,-1.31477088420725
"PanamaCityBeach",750.675746236073,-69.5524710891015,4.97233398949726,0.163166345617412,2.19975585473077,-2.58291675507402
"PensacolaFL",562.570939864664,45.0794916440829,4.82365477802767,-0.252610712879196,0.820058338988485,-0.721851953074583
"DauphinIslandAL",727.39670789853,-176.48654694313,5.25040685058099,-0.994185150754064,0.0994043219397278,0.715781100026117
"GrandIsleLA",639.751679515801,-135.770547475147,5.04418864446699,-0.607285815430491,1.66371851016849,-1.8717493609749
"SabinePassNTX",767.03761490048,-140.737650734064,4.61326803153121,0.74400779033388,1.1735048504537,-1.79241350626942
"GalvestonPPier",816.929081019826,139.495005742411,4.40317983116929,1.24772643405855,0.114991755880705,0.474256187853932
"RockportTX",461.184503431508,-26.9774773908708,4.11555862238314,0.698691477747042,-1.20006098828463,2.94128595167808
"CorpusCristiTX",807.017766342378,-180.56559552894,5.32285828587159,-0.713467741802933,-0.298292060422406,0.883269722023189
"PortIsabelTX",587.022950778481,-86.9830488590714,4.8807823679717,-0.796635941378904,-0.411497544961891,1.31894810167817
"ClearwaterBchFL",831.687395608668,113.952048876973,4.80327638093484,-0.518426842610465,0.493152501068226,-0.587764236295114
"PortCanaveralFL",1069.05243640404,114.619326350356,3.90576441782238,1.00150712214306,-1.2807509554405,2.87446445007245
"GalvestonPier21",659.891693411413,29.0229992033071,4.8953658377802,0.0146134357165805,0.829127942472015,-0.651919745008534
