"","mu","sigma","xi"
"FernandinaBeach",1560.90251961503,85.1451258515503,0.177845566860902
"KeyWestFL",557.995393807779,42.6417287348797,0.256503905036756
"PortlandME",2212.7816268737,101.57696384913,-0.0901550821992981
"NewportRI",1216.73188295305,114.230325789081,0.0871045788603173
"DuckPierNC",1216.62228489863,107.859573600263,0.025187537861775
"CharlestonSC",1394.46426658146,94.6317397609733,0.218201272060714
"AtlanticCityNJ",1390.47213732924,116.109635210724,-0.00344355788279747
"MontaukNY",991.206739929507,137.233511758535,0.24621871040367
"EastportME",3913.52389051646,83.4767309503965,0.033872235327558
"BostonMA",2279.9689785452,125.617391958384,0.0693495109909977
"WoodsHoleMA",946.53982243455,144.963938547621,0.0268992938242979
"NantucketMA",1073.53026033198,130.190268421577,0.0961235422515819
"NewLondonCT",1042.70084690619,154.221272018527,0.2124203049433
"NewYorkNY",1430.02330491526,140.296195224881,0.276627277741598
"CapeMayNJ",1501.36255438944,114.853963557033,-0.0755776581320463
"LewesDE",1414.85476071325,115.964065348035,0.207501373486755
"ChesapeakeBBT",1126.18238429229,133.815812755869,0.206921134968367
"WilmingtonNC",1032.81430181454,117.320847319443,0.0556804962838799
"FortPulaskiGA",1696.1152750137,82.8586110633521,0.168716952764634
"MayportFL",1190.41121379888,58.6945987822773,0.112395068841003
"VirginiaKeyFL",697.750242021397,88.5338998008813,0.115502025772193
"NaplesFL",760.861679494188,99.9027959760496,0.362556796665841
"StPetersburgFL",784.334788441157,130.608263347182,0.161985180835124
"ApalachicolaFL",659.347653566874,98.6129598173541,1.06270718621303
"PanamaCityBeach",703.886899327671,165.70257196672,0.757388709227736
"PensacolaFL",591.079820267522,110.168370758787,0.40702390840604
"DauphinIslandAL",612.046485533079,105.266272268003,0.580075861180689
"GrandIsleLA",557.576104395746,117.064600152957,0.455191563538906
"SabinePassNTX",670.021464963385,140.397721205257,0.318063030553383
"GalvestonPPier",885.697695940363,160.586756645804,0.389126693037028
"RockportTX",443.908816983501,82.5787341834066,0.345507629499761
"CorpusCristiTX",696.589203915302,140.333431040646,0.214591194952343
"PortIsabelTX",538.303907189243,86.4494501591299,0.326983042007651
"ClearwaterBchFL",897.854345010214,99.6169075354049,0.0951111948970644
"PortCanaveralFL",1127.22310460763,70.9711452678957,0.327433190132622
"GalvestonPier21",679.470334848512,139.452039373998,0.403863414850304
