"","mu0","mu1","sigma","xi"
"FernandinaBeach",1569.20029423341,-21.4107678141204,83.3903725075235,0.20466089048506
"KeyWestFL",548.409155232001,20.1618157609116,41.7741493847332,0.269651749358477
"PortlandME",2171.29689266985,82.411856363721,95.9504382884728,-0.0381942463203788
"NewportRI",1179.72652265406,61.6394658712775,110.453092995945,0.122210433415726
"DuckPierNC",1146.62834198228,87.7075467060642,103.586145044539,0.0640140221049131
"CharlestonSC",1382.32834815351,26.9356936545639,94.6347973995694,0.208543960075069
"AtlanticCityNJ",1373.93079184514,36.577582671843,115.727363709013,-0.00535401506697097
"MontaukNY",1000.45449860978,-14.0959352102855,137.280642499619,0.24511732018938
"EastportME",3841.63374813417,134.465795126245,72.6778283017078,0.0860642123426292
"BostonMA",2249.6509112179,63.1019554870888,125.20302726571,0.0581942412354487
"WoodsHoleMA",947.148695589822,-0.825946283930328,144.994706499626,0.0265859209848898
"NantucketMA",957.465074450905,168.041309759934,126.088033505415,0.0772795737427267
"NewLondonCT",1058.36226756952,-24.8032406059579,154.45389792659,0.208006662850079
"NewYorkNY",1381.01764976871,90.708590312519,132.564680721768,0.334610233432281
"CapeMayNJ",1489.64477216273,15.6504438560528,114.626023606438,-0.0725685043252406
"LewesDE",1425.76362078872,-21.1767616969171,114.143007307569,0.234777995460215
"ChesapeakeBBT",1032.77615553775,129.453690374272,132.490421558852,0.19566896010557
"WilmingtonNC",909.538321069823,229.42866906877,87.4473633675109,0.150512222546155
"FortPulaskiGA",1735.36589879577,-78.6506947848494,73.4364895183082,0.294570642756996
"MayportFL",1220.6463821549,-69.1594003874335,56.298185674582,0.131205661384191
"VirginiaKeyFL",666.348232195626,35.0886872460876,87.9085963326217,0.121786089973804
"NaplesFL",759.349809412121,2.42707884220823,100.060608834406,0.35949149934283
"StPetersburgFL",734.482404893692,78.7136568391607,128.09392835579,0.172696510662454
"ApalachicolaFL",664.931055943293,-9.77326437009225,97.2601568230343,1.09195430846514
"PanamaCityBeach",574.549711849996,152.755207279621,161.834773443375,0.744396183358083
"PensacolaFL",567.972387398874,48.4016895193178,108.91881323174,0.405241734612972
"DauphinIslandAL",661.072116270568,-72.7863297435846,95.4968398694523,0.736783677103439
"GrandIsleLA",621.049830690042,-97.401139789682,100.089738330523,0.666481698596853
"SabinePassNTX",499.425602540845,194.037285886645,128.614174098223,0.414028909712974
"GalvestonPPier",940.150449765503,-97.7161797764761,156.163322362165,0.435211080064343
"RockportTX",439.106310126148,7.13492274935226,82.3993651879242,0.349174334614818
"CorpusCristiTX",825.064594440838,-154.127346795974,132.52594809741,0.260940714247077
"PortIsabelTX",552.685439878805,-22.8662986877363,85.8401035738258,0.334493890744403
"ClearwaterBchFL",894.249728838044,3.963629563137,99.6109143292803,0.0952542820683062
"PortCanaveralFL",982.518895388982,162.120399115368,57.9141526585042,0.42056122480711
"GalvestonPier21",690.5542937925,-29.5757024245185,137.268937807792,0.428407084439515
