"","mu","sigma0","sigma1","xi"
"FernandinaBeach",1560.04867458242,4.20860322065518,0.418743485747611,0.20073648056092
"KeyWestFL",558.240112807873,3.8131248685206,-0.132569428629484,0.268887503328626
"PortlandME",2217.25607067652,4.80196104653787,-0.393192283739216,-0.075333201307839
"NewportRI",1217.91784606272,4.98836128338477,-0.47166037256936,0.129153472492025
"DuckPierNC",1217.6205155134,5.26742892223973,-0.806503633734488,0.0791913333013036
"CharlestonSC",1393.8092044136,4.50089531899504,0.0958761262456828,0.213134197044745
"AtlanticCityNJ",1389.91949506628,4.71594829778143,0.0776927163004956,-0.00342332281765651
"MontaukNY",991.694046926657,5.23737500928524,-0.460646543354152,0.190920555962869
"EastportME",3916.84034204188,4.53393625408451,-0.2030490124509,0.0499953581703573
"BostonMA",2278.18849490996,4.71638491493986,0.225266606829159,0.056830330389017
"WoodsHoleMA",939.730050153574,5.684001333177,-1.09127035770179,0.0586048155696642
"NantucketMA",1069.27679694356,4.59486369036404,0.391004448573934,0.0594961471724386
"NewLondonCT",1040.08902911701,5.31928519780034,-0.455998162035375,0.184301553221363
"NewYorkNY",1433.54803773297,5.26343268439468,-0.694661325355875,0.346585964043796
"CapeMayNJ",1501.633469809,4.94294455978793,-0.272377040737648,-0.0749024338777617
"LewesDE",1402.66636398838,4.05767471371247,0.918637157955938,0.327804773978424
"ChesapeakeBBT",1125.08369233001,4.36462835449549,0.749694187467647,0.117926235633891
"WilmingtonNC",1073.75065351905,5.73271023745299,-1.77811392530162,0.355097175125179
"FortPulaskiGA",1695.25510807876,3.58757483289865,1.16791313063982,0.231023369858194
"MayportFL",1191.72157378865,3.85792930293808,0.442922380482057,0.140321064966136
"VirginiaKeyFL",697.934237458815,4.37685951578114,0.125298486881992,0.104536870542065
"NaplesFL",753.983126606439,3.83278644555076,1.00669038936647,0.34473988255074
"StPetersburgFL",787.347481358736,5.08637422897285,-0.330581773693873,0.158375568699648
"ApalachicolaFL",652.007920582344,3.88324171756953,0.827591144976852,1.02186288405275
"PanamaCityBeach",713.419111919946,5.63294354489812,-0.561796250165616,0.746642230608667
"PensacolaFL",590.476852104788,4.66617281236591,0.0688190981993975,0.401739821256764
"DauphinIslandAL",601.836493534555,3.33888302184157,1.44037493314392,0.679562446215017
"GrandIsleLA",550.530950624081,3.63620724040441,1.24191515400914,0.581318708486644
"SabinePassNTX",679.246239122774,6.72507353518894,-2.21710730237352,0.361093821395321
"GalvestonPPier",871.847169106731,3.90254550563877,1.71154188786875,0.461479836758212
"RockportTX",442.345258370914,4.6465250823096,-0.380374624678085,0.36176855877987
"CorpusCristiTX",698.499261801326,4.58371859366921,0.403475905181038,0.258821906026493
"PortIsabelTX",538.372127656464,4.33632945774638,0.181594297642168,0.335215339861059
"ClearwaterBchFL",897.841660693856,4.60778351449104,-0.00650521646099449,0.095289118739388
"PortCanaveralFL",1139.70729376099,5.8680875588407,-1.79046196186465,0.528028485935488
"GalvestonPier21",675.590975554713,4.72940097215255,0.373319531731899,0.45188185351481
