"","mu","sigma","xi0","xi1"
"FernandinaBeach",1560.86956681079,85.1622190813439,0.173512544008328,0.00612174617626183
"KeyWestFL",558.26399528824,41.6208827428347,0.0419532875280091,0.420823128186277
"PortlandME",2212.08469123688,102.127953161324,-0.0372386975459867,-0.106940219746268
"NewportRI",1221.71496274994,112.999910205535,-0.347452692175261,0.730590734294081
"DuckPierNC",1221.65920907097,104.956878719976,-1.68579753181195,2.22504785668834
"CharlestonSC",1394.28968119631,94.1866311693521,0.174375305141614,0.080350198516775
"AtlanticCityNJ",1390.62331404896,116.131011674333,-0.0292245581049299,0.0463750844909966
"MontaukNY",986.173830150767,131.867672193499,0.631972946407427,-0.583579671958686
"EastportME",3913.54074456636,83.9141777269823,0.0525866495183426,-0.0358888110518241
"BostonMA",2279.90925286741,124.891737548576,-0.0321820191418218,0.170386132082773
"WoodsHoleMA",957.904356183732,149.989389291305,-0.795406280491002,1.32594308867048
"NantucketMA",1070.89558547499,121.511848821481,-0.423990253108978,0.747238333880618
"NewLondonCT",1040.59984789118,151.697733143157,0.414234126114727,-0.344510354471287
"NewYorkNY",1440.12723568033,138.059816105864,-0.236883771321398,1.07562746095006
"CapeMayNJ",1502.62383780239,116.560984824254,0.0865058524605108,-0.256934850732725
"LewesDE",1415.82875578507,114.80080471763,0.656735989069936,-0.506458978713806
"ChesapeakeBBT",1132.00924494553,131.181820288142,-1.2376966264743,1.83892273341602
"WilmingtonNC",1034.19522434477,111.853961963513,-0.0880456138141687,0.273736199213271
"FortPulaskiGA",1695.90698547021,82.9215007249994,0.151356665842819,0.0194002888652626
"MayportFL",1191.55472114466,56.5726500689509,0.486107024916139,-0.809171534492675
"VirginiaKeyFL",699.909752796209,85.4579269945627,-0.96392418578726,1.15177477090612
"NaplesFL",760.67776905018,99.7400098532127,0.301746730966112,0.0692676395492769
"StPetersburgFL",785.58254869273,143.099269835745,0.913699779416151,-1.26744935226688
"ApalachicolaFL",661.486993645796,104.646217401779,1.64091928428913,-0.682655925342635
"PanamaCityBeach",717.254623219505,197.341902077876,2.99999605190026,-2.60057180657416
"PensacolaFL",590.796106567983,109.577895928479,0.382299707495237,0.053009599238335
"DauphinIslandAL",624.603559456436,123.197094815642,2.47404037367468,-2.02585410835261
"GrandIsleLA",565.030544964823,118.598082336903,1.85459158697552,-1.54393252911548
"SabinePassNTX",707.932793597444,155.471788410005,-2.15814585887544,2.99999988544563
"GalvestonPPier",889.56626711012,162.750112331145,0.973205383454728,-0.795801927923033
"RockportTX",444.60628000547,85.2055368450308,0.89844797398484,-0.973899163231192
"CorpusCristiTX",701.275081672601,135.609681821483,1.46986484746856,-1.51070151784435
"PortIsabelTX",538.634361453935,85.9671163325327,0.677212260241491,-0.531609268101804
"ClearwaterBchFL",901.503581121297,102.502247554791,0.415502654022279,-0.408837355944145
"PortCanaveralFL",1127.60917417934,70.2935035040255,0.185821997429549,0.155270944017636
"GalvestonPier21",678.02276936912,136.702845489524,0.730627425934394,-0.527659396473799
