"","mu0","mu1","sigma0","sigma1","xi"
"FernandinaBeach",1560.83879839578,-2.77832794527392,4.22883765956227,0.390194590892045,0.202312439465116
"KeyWestFL",546.351470284291,24.7168987452695,3.65188739842368,0.168695029682181,0.263532116041026
"PortlandME",2172.30152042562,81.167553862569,4.78393258089544,-0.475723256774894,-0.0442760562918581
"NewportRI",1188.26969442438,45.636526758096,4.85164967058872,-0.271417458259373,0.135058650993927
"DuckPierNC",1181.20981499953,43.6557935333509,5.02646036537118,-0.508724061283525,0.0749403655899896
"CharlestonSC",1358.88501021392,77.1349101722989,4.27748399154783,0.520597344537595,0.213082700817286
"AtlanticCityNJ",1372.43326099286,39.645781235916,4.69624222882819,0.114309627294657,-0.00344741986344889
"MontaukNY",1041.0222161696,-67.4308316255825,5.40425414078822,-0.716958663057914,0.173334323749301
"EastportME",3842.85444024199,131.954053336348,4.38376577435211,-0.180985791412498,0.0880516460775399
"BostonMA",2240.83649917328,80.9170643897524,4.63492213919535,0.371169249896559,0.0542552569905749
"WoodsHoleMA",972.149892244105,-39.2561401925607,5.71411055345315,-1.14969346133452,0.0558956940140604
"NantucketMA",891.111866697242,262.52108902403,4.25104793363288,0.77364857898122,0.0768139067093865
"NewLondonCT",1098.41506200376,-83.9669178182132,5.50053728877385,-0.759587501326157,0.167249494820154
"NewYorkNY",1395.43201963279,60.0057305753628,5.07201397711836,-0.403327694186198,0.353595855056826
"CapeMayNJ",1490.2032085322,14.759081858985,4.92846024688775,-0.257133039381411,-0.0731520834507896
"LewesDE",1375.93824290763,53.9542461887916,3.87694688601755,1.2360920548476,0.332900714323843
"ChesapeakeBBT",972.581619870188,218.257859132909,4.15639501498337,1.00390029300898,0.12369608303992
"WilmingtonNC",852.28278737473,336.808727219879,3.86172101702306,0.979277204818626,0.183073213278005
"FortPulaskiGA",1694.05927171722,2.72699801729504,3.62286052952564,1.14129371226621,0.230031530851387
"MayportFL",1231.5772684775,-93.172522531722,4.25123758752323,-0.513010820224768,0.122008005421665
"VirginiaKeyFL",649.608977800376,55.3857936681122,4.16162429187051,0.365742748073189,0.0949232688861781
"NaplesFL",682.526503981763,117.33789993338,3.56739806551262,1.41936627955626,0.304075740093411
"StPetersburgFL",735.553573804007,76.796716004472,4.86637962531533,-0.0199758603972022,0.172610744518045
"ApalachicolaFL",536.845711841172,167.80081059957,2.65764685665635,2.45291362368993,0.9446752400667
"PanamaCityBeach",553.634790748388,176.397782306928,4.87438011753643,0.238594680184157,0.744132775319597
"PensacolaFL",541.19641057602,106.419744930705,4.38273267304084,0.594262290843105,0.381367703326842
"DauphinIslandAL",570.705511376078,46.1046472645743,3.15263006318766,1.7196894491412,0.646684335442428
"GrandIsleLA",523.700127048981,39.6155144678147,3.48825870558833,1.46077929842248,0.563189263664919
"SabinePassNTX",541.701227829021,135.149270871525,6.48554369616137,-2.06912364153165,0.410959580489067
"GalvestonPPier",804.644969383736,125.204174157769,3.62180244835037,2.23287250879302,0.457055558090167
"RockportTX",464.055429019225,-31.4570234982428,4.86079793665475,-0.722178057136167,0.362076457739012
"CorpusCristiTX",852.444891395514,-187.041756649069,5.25252346842031,-0.440970220984994,0.262953056939798
"PortIsabelTX",551.788964264127,-21.2081625103127,4.42694004100346,0.0423774961637563,0.331196693673407
"ClearwaterBchFL",894.775563699804,3.40292770917262,4.60380109743671,-0.00152926569534688,0.0952760230023556
"PortCanaveralFL",914.813034589359,237.23700029644,2.7757320486952,1.37025263956746,0.455563402902577
"GalvestonPier21",673.437561838933,5.12061125417376,4.72810563305898,0.390234977684744,0.453356515955015
