"","mu0","mu1","sigma","xi0","xi1"
"FernandinaBeach",1570.52618049533,-23.8423390294033,83.2598699958215,0.174782993127207,0.0481375967494509
"KeyWestFL",549.559278238204,17.2021952704452,41.612033565685,0.0720231279735132,0.352549829570577
"PortlandME",2165.91637227713,86.8660906330716,95.4886684571879,0.0789284234606252,-0.240894252298924
"NewportRI",1181.91192531901,62.7138535193705,113.626927831993,-0.378671991759608,0.811853435548987
"DuckPierNC",1223.31219238762,-1.84611463186007,104.905203921911,-1.70276869563233,2.2478894285066
"CharlestonSC",1378.06474518669,35.8416518942813,94.9656765155438,0.262952707573359,-0.0942585284040982
"AtlanticCityNJ",1372.51532807368,38.247005748492,115.904594800512,-0.0349191821045347,0.0534806495969372
"MontaukNY",994.598908593712,-13.0624259062505,132.285369884881,0.631167876880555,-0.5842508975953
"EastportME",3836.59353961737,139.524479436158,72.674189187018,0.0701040400342498,0.0304713484756059
"BostonMA",2248.26952362523,63.1345268153419,125.284251187575,-0.00589662135872872,0.105328098499862
"WoodsHoleMA",955.908260622444,2.34610810760487,149.913151159804,-0.786119703192416,1.31190741978807
"NantucketMA",931.706485139359,204.674206430922,127.154698181018,0.213042681092903,-0.181359649117822
"NewLondonCT",1057.7431264962,-27.640986277786,152.317982454692,0.41145680456399,-0.346105240402663
"NewYorkNY",1391.45517171277,75.1575537800943,135.80391725915,-0.196244022639967,1.06181227527994
"CapeMayNJ",1485.1790829277,23.3237657679216,116.295688312967,0.118299043024175,-0.301339508795568
"LewesDE",1424.06238712818,-16.9598448641253,113.597507190503,0.678877702511335,-0.506323391926729
"ChesapeakeBBT",1079.98371805284,63.4328038173434,131.088361215383,-0.954009846890009,1.45751746850099
"WilmingtonNC",895.799609746159,248.178070157691,87.5464981172239,0.223762857569672,-0.108866669222413
"FortPulaskiGA",1743.28319641032,-92.8790017348412,71.8181313758213,0.11626819946801,0.265656628922999
"MayportFL",1218.41483652111,-61.5838776558202,56.1074038196174,0.301672984100704,-0.4039732953118
"VirginiaKeyFL",738.037112819687,-41.1293391022298,84.4709896125511,-1.11634161784146,1.3322156957144
"NaplesFL",760.5972460775,0.170056829882704,99.7952684996463,0.302186398955984,0.068476558600866
"StPetersburgFL",665.78002281281,188.233121543845,129.708911939886,1.7572122479753,-2.50072369140873
"ApalachicolaFL",637.504401950204,43.8135618719039,116.733702779506,2.10928616013128,-1.25694374473606
"PanamaCityBeach",526.622591051197,230.332402687498,181.51201127265,2.99980036731956,-2.6619046283344
"PensacolaFL",561.171839253148,64.8154080322955,111.043446750503,0.522360868044871,-0.230041521576635
"DauphinIslandAL",634.560373586473,-18.4260983684889,117.999345305321,2.28826710550856,-1.80030694085439
"GrandIsleLA",627.041778661466,-105.30606446471,99.1036915166374,0.574616898421936,0.122528138066674
"SabinePassNTX",511.350254568945,206.706957493975,156.897038650172,-2.03741392777386,2.99983858919808
"GalvestonPPier",933.131317023523,-78.7592345373578,159.403575773679,0.964574177771728,-0.741790912329928
"RockportTX",439.672647133314,7.97745506846961,84.8135816950165,0.890846240158648,-0.956642035511597
"CorpusCristiTX",827.132865039341,-153.147436471736,135.265603903704,0.89227196783437,-0.808855605684121
"PortIsabelTX",547.032818794555,-13.3099256388421,85.995772779825,0.626144107466114,-0.45539721413097
"ClearwaterBchFL",863.008661499519,44.9225879335039,103.822990974827,0.539637753097118,-0.574682740524603
"PortCanaveralFL",959.083396933146,188.579566740864,58.4530689731515,0.992820229283916,-0.589271499385223
"GalvestonPier21",684.733259911337,-18.5011964662082,136.014825020858,0.710834490188597,-0.482436407831503
