"","mu","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1559.70512135673,4.20255267637704,0.445302280058984,0.242967875596603,-0.0890863987542986
"KeyWestFL",558.172608180431,3.76324624205502,-0.0709525850054745,0.0615409814151067,0.39675115540516
"PortlandME",2218.23484225451,4.81855185461025,-0.449420247540818,-0.143761399384796,0.126299653744367
"NewportRI",1221.22605290262,4.96277557700625,-0.428690301452713,-0.286879964187786,0.631626947374134
"DuckPierNC",1218.32661671512,4.80670308800797,-0.212923994614529,-1.47341537621975,1.96199672845639
"CharlestonSC",1393.78663006163,4.49258527038325,0.103798989429708,0.16480151046212,0.0977604570640917
"AtlanticCityNJ",1389.90686452517,4.72262233537589,0.0660333453100045,-0.0244034884250492,0.0357621507019436
"MontaukNY",989.863960042868,5.17069527305321,-0.434089269485565,0.520509900244388,-0.458560042734597
"EastportME",3917.03364950354,4.52497135580731,-0.21221590404043,0.017086218884839,0.0656499193520697
"BostonMA",2278.434357834,4.72491846937003,0.200980849084255,-0.0228479026047563,0.15347152027462
"WoodsHoleMA",937.848710150944,5.63065755582354,-1.02235933958495,-0.258012444039556,0.458340267175776
"NantucketMA",1070.66556138041,4.76289036135857,0.0538288375685981,-0.392466368565226,0.709813398451184
"NewLondonCT",1040.19658840194,5.27278652373018,-0.416521883509818,0.323748009829753,-0.221108267363263
"NewYorkNY",1435.68643968999,5.19030338570455,-0.609824902513649,-0.114215632341983,0.821244687785827
"CapeMayNJ",1502.21055068413,4.90119469061257,-0.220324023802455,0.0164390726841547,-0.133215028970365
"LewesDE",1400.0250700135,4.11792566204063,0.823237849943733,0.639366583816786,-0.454828078305201
"ChesapeakeBBT",1129.19958471066,5.01889949158838,-0.20463682571677,-1.2593748215631,1.90546400154018
"WilmingtonNC",1069.50696456376,5.47134052090869,-1.62592165583703,-0.211582865555891,0.78987558153733
"FortPulaskiGA",1694.87412241015,3.61151109906897,1.16016734997475,0.287329596435496,-0.112712345727699
"MayportFL",1191.67675620327,3.87231944784728,0.351490220551312,0.457367169640999,-0.771757222456486
"VirginiaKeyFL",698.996835488633,4.46302504207977,-0.0246938868208304,-0.911496526547879,1.09773624738145
"NaplesFL",753.67585217173,3.84069557601223,1.01904229373084,0.459199387554609,-0.153463469639507
"StPetersburgFL",791.478810532202,5.1128751692035,-0.270753252669157,0.752597149868383,-1.00580910854791
"ApalachicolaFL",652.461614301333,3.96619688773866,0.759925336179719,1.25633526624779,-0.310163746928728
"PanamaCityBeach",693.834455736259,4.26857263791,1.07621608197279,2.99884340361117,-2.73839756608223
"PensacolaFL",590.42142982104,4.65608645197811,0.0886719953978389,0.375783227317839,0.0540934973222249
"DauphinIslandAL",603.828430667761,3.50159330346752,1.40800272457946,2.08607063247629,-1.81474440461807
"GrandIsleLA",549.621308150669,3.61296378412926,1.26943122870232,0.369701491184877,0.282271459449895
"SabinePassNTX",689.577123596456,6.33522478223396,-1.65336199016674,-2.22542536431761,2.98254072336351
"GalvestonPPier",871.737923348126,4.04791572381549,1.52090512183205,0.699948666176437,-0.384972620509325
"RockportTX",445.260159178952,4.66833349423551,-0.373949961318742,0.767849051648033,-0.729825731345312
"CorpusCristiTX",701.209423850393,4.80840580268451,0.115683676239252,1.43380416943586,-1.4859906167741
"PortIsabelTX",538.789293522444,4.41725716822573,0.0548779574686874,0.628995925055914,-0.466606686241245
"ClearwaterBchFL",896.498384226864,2.22265393612643,2.98449537529185,2.11781228841089,-2.82148345601296
"PortCanaveralFL",1134.98813308092,5.68938943584042,-1.74466443892741,-0.489906723527247,1.14175522384328
"GalvestonPier21",673.484424426174,4.76179516740126,0.288055690836762,0.652781978788765,-0.391429017473776
