"","mu0","mu1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1557.58428817626,1.87579379006849,4.19748876800729,0.448203852267223,0.249691455740972,-0.103449987976882
"KeyWestFL",546.552452734292,24.7957132391702,3.63886095555642,0.225554498817393,0.0111190855542751,0.449057789891036
"PortlandME",2172.90927183313,81.5799179273761,4.82386068934942,-0.545161504275553,-0.0942877335669599,0.0560867443178959
"NewportRI",1190.10192521478,46.4859717739788,4.85795117232295,-0.233692516544512,-0.338316148858486,0.736880045416228
"DuckPierNC",1236.41444125828,-22.2806248040519,4.94504570270422,-0.395060249651146,-1.60952330305072,2.13784596141383
"CharlestonSC",1352.6544464788,94.9647234231912,4.25513820858455,0.512609518942402,0.304054444347433,-0.215498107500851
"AtlanticCityNJ",1371.07112148735,42.2764244199424,4.70562753676725,0.102238898217197,-0.0380631414463793,0.0567692026480417
"MontaukNY",1022.38284126063,-43.1313599493975,5.32738847849089,-0.608760638163105,0.473968607211602,-0.398544589397982
"EastportME",3844.65717373892,129.504419745214,4.3894497878104,-0.20041502233629,0.0705669648853409,0.0137103115327366
"BostonMA",2244.89846894894,76.319446308951,4.65623313027176,0.347689442674069,0.0516865267022445,0.0130693836976908
"WoodsHoleMA",1035.99907113179,-120.297502952944,5.92327640055199,-1.47192896671934,-0.892538613130452,1.46615362252973
"NantucketMA",849.946114170536,321.341107985875,4.24871529088106,0.774881352521623,0.515322976452134,-0.633893098046716
"NewLondonCT",1097.48718194977,-84.7464503509376,5.47844390290724,-0.75210292730127,0.257907835725856,-0.148440659858746
"NewYorkNY",1405.86046911995,47.1149214462394,5.0487468284826,-0.34324541062561,-0.128330992558208,0.901659994805073
"CapeMayNJ",1488.25432955891,18.8219216246919,4.91379936248779,-0.243138125718548,0.0130248907150748,-0.148135145388257
"LewesDE",1356.28743326433,76.8459547959971,3.67859704328197,1.46923449680552,1.05343422660901,-1.00065299972792
"ChesapeakeBBT",1005.58044367265,172.174013927221,4.37174869557479,0.721962201096019,-0.322903354134387,0.608401409848838
"WilmingtonNC",829.661288536405,372.062105827557,3.73880409150789,1.09197800817832,0.394073564068283,-0.490235152781654
"FortPulaskiGA",1692.39416160873,9.55750310354528,3.60564583695067,1.22421352501885,0.325549720772893,-0.190725680507524
"MayportFL",1233.31984966316,-94.2805028868108,4.30436514339801,-0.589410954429238,0.235264833921919,-0.311726740412384
"VirginiaKeyFL",761.832842443784,-72.4567753964797,4.83710730074664,-0.483303158646112,-1.20331149691301,1.42776854864804
"NaplesFL",678.363992459012,124.585361025439,3.60434811428207,1.38967796544542,0.390426004101393,-0.0915653720424185
"StPetersburgFL",676.692324766401,170.723601964577,4.90534249128257,0.0567149313769176,1.6921301287673,-2.46171879798645
"ApalachicolaFL",520.006384307648,189.189865939739,2.56408130708849,2.56022788126427,1.76458105437119,-1.11913401695805
"PanamaCityBeach",529.839075319014,215.381683406219,4.57638133527601,0.659517551631943,2.96985897805187,-2.72974424425198
"PensacolaFL",538.468781412832,112.651416658333,4.39533682629974,0.565694457624128,0.465206770786459,-0.193483288357907
"DauphinIslandAL",530.852447218189,110.841378408558,3.29936213270923,1.72020644653388,2.67699814832156,-2.59258493943403
"GrandIsleLA",521.830021641853,40.6135427655252,3.43776984364261,1.5064494826915,0.506262550572828,0.093510167888362
"SabinePassNTX",528.328645043959,148.605760087845,6.93095065949679,-2.45651626210961,-2.0919770498953,2.89466305687204
"GalvestonPPier",792.526575115983,144.263878630951,3.60759202845054,2.22788768027091,0.809919959223699,-0.571354863980795
"RockportTX",465.737229680075,-31.2040024710345,4.85335996052651,-0.657307046116219,0.593712316205887,-0.414127928506446
"CorpusCristiTX",847.794992988429,-180.508798132329,5.22345716752092,-0.390370700652404,0.410014106455677,-0.174276981389631
"PortIsabelTX",541.65586137628,-2.26104832957697,4.407039853332,0.0889043760150516,0.60273743810591,-0.452024810103928
"ClearwaterBchFL",814.499230282423,115.954615885865,2.20848172368788,2.71936145799951,2.20098068177794,-2.80461467031071
"PortCanaveralFL",918.203136873898,235.122104033249,3.06874808555269,1.07259063220455,1.12586817129003,-0.731824609692336
"GalvestonPier21",670.520127556733,6.10838178963563,4.76661288522154,0.2865189175666,0.682786219084223,-0.444013290833066
