"","mu0","mu1","sigma","xi"
"FernandinaBeach",1570.48163363409,-21.8513844897556,83.5403461111108,0.203336854465589
"KeyWestFL",548.591985985377,18.7791413476343,42.1752253197485,0.260266133200033
"PortlandME",2165.43642608959,88.2439179436241,96.6439201934188,-0.0490674213664424
"NewportRI",1175.36212484921,65.1101011140586,110.346606678099,0.124783270759879
"DuckPierNC",1114.11826879591,124.644978034631,101.871539817078,0.0861043545223409
"CharlestonSC",1374.97970371224,38.9972493302612,94.1488283808917,0.211065946547818
"AtlanticCityNJ",1360.10888084461,60.0887566500835,114.524481068292,0.0020710931236429
"MontaukNY",990.39661949505,1.25319133048964,137.222730485117,0.246319575051434
"EastportME",3842.501638169,123.5615791376,77.3537728852511,0.0498312120840157
"BostonMA",2250.44795690551,57.2672477553832,125.843694631889,0.0560304085259667
"WoodsHoleMA",954.776743817746,-11.2082171799078,145.338041942669,0.0228226671234537
"NantucketMA",965.616217335967,156.962183060006,126.11760354166,0.0792110791615614
"NewLondonCT",1049.46698064112,-10.2731857835017,154.433132799518,0.209807280480696
"NewYorkNY",1380.3712180982,88.9159213918276,135.440045667609,0.305775903785722
"CapeMayNJ",1503.11814395955,-2.29347025124348,114.913293528868,-0.0764976953033682
"LewesDE",1434.96328201971,-38.8644571578935,112.047242292927,0.263607823978749
"ChesapeakeBBT",1071.0605705414,76.7971025570784,135.1413018595,0.177814171692189
"WilmingtonNC",875.419789049944,276.306399800677,94.4496484566237,0.102106201539525
"FortPulaskiGA",1718.68123761252,-41.1450794679723,80.077796355209,0.207794386185536
"MayportFL",1209.12741093374,-39.6147349915009,58.071283726334,0.114845948128117
"VirginiaKeyFL",574.41242715048,136.195496766036,86.9028805570108,0.130116452582802
"NaplesFL",741.30082428741,30.2099365093755,100.646999649233,0.341893812961689
"StPetersburgFL",720.294256633682,100.366575302155,126.158755092858,0.189697857912093
"ApalachicolaFL",657.43719776538,3.12164411937425,98.9222852564873,1.05468370529652
"PanamaCityBeach",577.073347435913,156.922334764686,172.16871645417,0.666731927433655
"PensacolaFL",564.999822259745,50.5597114031787,109.782240309168,0.399483076206288
"DauphinIslandAL",663.100335615037,-77.8785232997577,93.9900133242746,0.76185926721005
"GrandIsleLA",623.736535365888,-95.5514180470772,107.717182386038,0.589844799686346
"SabinePassNTX",338.468605165679,382.275163094753,123.35049049895,0.418065375931698
"GalvestonPPier",904.747697581533,-34.8076851967946,158.632131209504,0.4109616113023
"RockportTX",420.450289713612,34.2916640861061,80.6891614948508,0.376874308847128
"CorpusCristiTX",723.731538582173,-32.4053255487142,139.64805663486,0.22291799258901
"PortIsabelTX",541.025328578812,-4.37076645664602,86.345895456056,0.329051238777165
"ClearwaterBchFL",1168.10224296033,-290.447096036,99.3826502787871,0.0619732678853348
"PortCanaveralFL",747.393474081251,412.032013978301,44.9473805987675,0.665053467603728
"GalvestonPier21",690.253604034148,-27.4444048959615,137.284235811718,0.430408403125723
