"","mu","sigma0","sigma1","xi"
"FernandinaBeach",1559.63087613843,4.14544253491734,0.503403673952765,0.224815267242182
"KeyWestFL",557.942512823505,3.73433652735592,0.0394280557050033,0.253071630231161
"PortlandME",2216.66948047431,4.80522301245116,-0.377004428298319,-0.0813895148709664
"NewportRI",1217.47568557816,4.99240009220342,-0.46928203036311,0.122447442803365
"DuckPierNC",1213.44277538736,5.45172595428653,-1.07811965812316,0.134661822475877
"CharlestonSC",1394.2126550871,4.52529525083141,0.0479815919888709,0.215302796494808
"AtlanticCityNJ",1391.60127361548,4.83443664762666,-0.164141217220612,0.000440779369901625
"MontaukNY",995.095763693401,5.52518473737665,-0.92977777450574,0.145235502320676
"EastportME",3914.48548069208,4.46711007337399,-0.0727578692509792,0.0357923859704348
"BostonMA",2277.44745190964,4.62677637948644,0.375973955485776,0.0606015718790126
"WoodsHoleMA",937.914146425619,5.8056677180737,-1.31253239575917,0.071241510094115
"NantucketMA",1073.06344374488,4.84539194118581,0.0344674561591412,0.0934984885883883
"NewLondonCT",1039.76774271777,5.50562351584292,-0.772037993907971,0.181097324833911
"NewYorkNY",1434.65407951018,5.26485855402715,-0.630433593636773,0.295334570291936
"CapeMayNJ",1499.64297034182,5.1031587173827,-0.509114600289676,-0.0806768625964867
"LewesDE",1403.63696244864,4.08447933396979,0.882723966622441,0.347763465536034
"ChesapeakeBBT",1126.05441519188,4.44347552687332,0.631091124249874,0.13451672972494
"WilmingtonNC",1059.53895931226,5.3499825038328,-0.994186227812189,0.106004729062286
"FortPulaskiGA",1693.97213566025,3.88670756830062,0.759681243203923,0.210173622108816
"MayportFL",1190.7324002413,3.99855096675937,0.153981502378184,0.116649016311592
"VirginiaKeyFL",697.911071110138,4.43412261187368,0.0571062360294378,0.114082611582463
"NaplesFL",759.257061193014,4.37685438744896,0.315445687711979,0.358620104441767
"StPetersburgFL",789.024646989016,5.15276916290658,-0.44465469561514,0.14450523250052
"ApalachicolaFL",657.663250627445,4.44486580011039,0.171093247919912,1.06209736647189
"PanamaCityBeach",670.509590085179,2.14199227618719,3.22660531527353,0.931314161893332
"PensacolaFL",586.956627431378,4.41877559101643,0.503488686410084,0.387607274354021
"DauphinIslandAL",596.876104927868,3.20527371655453,1.60039508370867,0.775583747716833
"GrandIsleLA",548.526203333508,3.30637470529254,1.74513638021612,0.492613970466841
"SabinePassNTX",679.411573093084,6.92078222552863,-2.43724378452299,0.351056475531585
"GalvestonPPier",861.875999983382,3.81481682457544,1.7571683562472,0.490862690150709
"RockportTX",442.437221266544,4.66604831586345,-0.443430934583925,0.394284961569204
"CorpusCristiTX",695.398125958268,4.09453619020739,0.974031915804107,0.249798619090454
"PortIsabelTX",537.629460381896,4.24075481745614,0.327685809162146,0.329694302808979
"ClearwaterBchFL",894.242886587721,7.92418140702628,-3.58574471684464,-0.228114713747003
"PortCanaveralFL",1126.16039955951,8.67255040347067,-5.18113034473138,0.728078558135637
"GalvestonPier21",671.87790541297,4.60074787453783,0.578066205863284,0.466078202126435
