"","mu","sigma","xi0","xi1"
"FernandinaBeach",1561.00534795324,85.1047852423605,0.191625483616015,-0.0197769709552265
"KeyWestFL",558.104688579461,41.6322507249346,0.00228311034124698,0.443326514903664
"PortlandME",2212.2308374906,102.517558338797,-0.0164561852342867,-0.149688153405029
"NewportRI",1221.57157508128,113.930533154159,-0.256783396447961,0.560556260385182
"DuckPierNC",1232.35596114234,105.077500811211,-2.40404000314464,2.99999887776933
"CharlestonSC",1393.87045539217,93.1352523836133,0.0956952609242089,0.222350922950527
"AtlanticCityNJ",1390.5308430961,115.979216565957,-0.0163408919828689,0.0265137899132193
"MontaukNY",983.348054808677,130.255216126731,0.72610789113622,-0.751460597216099
"EastportME",3913.25127828054,84.6834501816928,0.156609469560118,-0.189117891009548
"BostonMA",2279.70391137798,125.282913540507,0.0211670547237215,0.0803042369382243
"WoodsHoleMA",952.91229047681,147.13941586561,-0.2542604990161,0.433504338891102
"NantucketMA",1072.09121565886,123.37944787096,-0.372807590950698,0.63964169367479
"NewLondonCT",1039.96148415602,151.913010821078,0.433646625951402,-0.388878370382611
"NewYorkNY",1435.46292995867,140.555584558704,0.0256551115729497,0.457276692994173
"CapeMayNJ",1501.98751483376,116.880037400275,0.0593577381756861,-0.243406933401353
"LewesDE",1413.04040377105,112.21384799748,1.1639353535139,-1.08473798629207
"ChesapeakeBBT",1130.7260993788,135.119166510467,-0.787221932327817,1.15624038957678
"WilmingtonNC",1032.79948465243,117.588233388918,0.0660616299985216,-0.0177017478601218
"FortPulaskiGA",1695.90927382701,82.9030409939386,0.143457170077744,0.0306288401397548
"MayportFL",1190.46985437866,58.4142672754194,0.185329929074073,-0.153056266033866
"VirginiaKeyFL",703.233350193838,85.913880720289,-1.13000417710596,1.31330488720504
"NaplesFL",760.889198151292,99.5647199888619,0.224428535246677,0.169827467615839
"StPetersburgFL",783.122003717942,146.457831588876,0.991125502491573,-1.48397637117516
"ApalachicolaFL",659.561353304504,100.157824249887,1.26626197169606,-0.241278198630008
"PanamaCityBeach",719.363972478237,180.750200713452,2.99999981938055,-2.61063862968713
"PensacolaFL",590.029516522015,108.041959720901,0.257304395049643,0.267461686256429
"DauphinIslandAL",616.506274620687,115.866273711607,2.72076996536963,-2.2194631663796
"GrandIsleLA",562.622391243632,122.045620991883,1.97951803732441,-1.68213577023199
"SabinePassNTX",702.868392234716,153.903525404598,-2.13244627777765,2.99955355524142
"GalvestonPPier",897.70881283179,175.045608349017,1.57347772557413,-1.52905377448527
"RockportTX",443.040378915901,80.7854004520953,0.152001295472993,0.405039095096899
"CorpusCristiTX",704.99186776532,148.547252757992,2.21080734517611,-2.31212670399246
"PortIsabelTX",538.850045511881,86.903500202885,0.538477048859038,-0.308839708162085
"ClearwaterBchFL",904.407235037261,101.815138706949,1.1805512208552,-1.3260314708595
"PortCanaveralFL",1130.39972345476,63.1241340451918,-1.67399719893688,2.21798032408467
"GalvestonPier21",679.438977373461,138.990470646493,0.801130602056845,-0.604423473921945
