"","mu0","mu1","sigma0","sigma1","xi"
"FernandinaBeach",1558.69671543991,1.1856855048085,4.1315987582325,0.52534013588457,0.214788467465911
"KeyWestFL",543.17509161461,30.4349769804477,3.54125114790571,0.403351386728695,0.237124567997603
"PortlandME",2168.37678876646,83.1468984293909,4.76342240922047,-0.371474808760309,-0.0572402585075393
"NewportRI",1191.75838995616,38.5245745608024,4.89823422826685,-0.326593718328805,0.123541875473128
"DuckPierNC",1140.73397435104,88.4875953841252,5.13510830215592,-0.683904409596633,0.131446620297603
"CharlestonSC",1344.29436847292,101.26070321897,4.17317440585059,0.681710384271415,0.197454134171987
"AtlanticCityNJ",1361.49335975701,57.5178273515751,4.76674807773939,-0.0510045148683706,0.00280463210026485
"MontaukNY",1035.86398893091,-57.7186594051865,5.47443420718351,-0.829742624432326,0.146877361799332
"EastportME",3842.75221531052,123.015954010132,4.4336719845349,-0.144657170015613,0.0541750992326186
"BostonMA",2242.20981421639,72.8225387135358,4.5738398265133,0.464621276490876,0.0546094746514153
"WoodsHoleMA",972.070341450337,-39.828511817682,5.76213981259498,-1.21210316382112,0.056069144384312
"NantucketMA",920.793118454475,221.847163961862,4.24019624408019,0.802706798812739,0.0723996183400909
"NewLondonCT",1093.94886649226,-74.001267296714,5.57283146978468,-0.854236602460455,0.165736889628293
"NewYorkNY",1396.46017785637,59.4977157876911,5.13907214333954,-0.438518139645527,0.306722647127428
"CapeMayNJ",1532.49772600396,-40.0834679815896,5.16105249600063,-0.580266968769491,-0.0858919452478901
"LewesDE",1373.0058715948,58.9799194285262,3.84935096398029,1.24946003946836,0.351247237386063
"ChesapeakeBBT",998.915235585887,181.353407762156,3.82315970944432,1.43627298797132,0.0982293655480783
"WilmingtonNC",874.625066274536,277.230396638534,4.53938013663124,0.0154307421378661,0.103588295047893
"FortPulaskiGA",1664.43753805917,57.7439742601081,3.59417284559936,1.2412411821031,0.194905290155309
"MayportFL",1216.61854986644,-54.8746130357466,4.2319872664614,-0.368496783629444,0.113449736672097
"VirginiaKeyFL",623.769737809892,83.9975070521979,3.74732189547089,0.823316061435899,0.0734607658634381
"NaplesFL",703.567812212088,85.4908093079345,3.99509045294652,0.847484674777155,0.330284447564634
"StPetersburgFL",733.002133570833,83.5846552434029,5.056323848349,-0.326451104087098,0.159170864432849
"ApalachicolaFL",493.976662233207,224.599969864802,1.180974687672,4.20487366112065,0.992715589936266
"PanamaCityBeach",618.551411753427,79.8258536060177,2.93225172621981,2.37107215282651,0.801331278005382
"PensacolaFL",542.680805950689,94.1400979447456,4.2922626344874,0.729719790805678,0.369243746512438
"DauphinIslandAL",510.738651589934,128.874786924687,1.8944231643745,3.26263772768553,0.699255078950272
"GrandIsleLA",475.262209869563,100.929156092946,3.00038841043576,2.08359639069576,0.533070958640974
"SabinePassNTX",409.092365813535,299.466245482976,6.42669452804273,-1.92454522198206,0.376389681625304
"GalvestonPPier",816.55050999796,98.074655725499,3.61742591332094,2.13003026873167,0.457116600987917
"RockportTX",431.865081670916,15.6814018075958,4.57057353021892,-0.297682428792944,0.389900322384415
"CorpusCristiTX",707.171484736346,-14.3136357383257,4.51276276496363,0.484424601851048,0.237374414671778
"PortIsabelTX",526.830678237529,17.5870220898694,4.18498205168142,0.407630694225558,0.327057788163547
"ClearwaterBchFL",1077.58050132308,-191.932245949927,5.48979928762017,-0.967071640680411,0.0346764009982081
"PortCanaveralFL",734.456983954217,425.75744572095,1.67259715323562,2.3001436377219,0.62508080768154
"GalvestonPier21",658.186053591097,35.8086999360774,4.54257573389943,0.715002206566959,0.459608950977076
