"","mu0","mu1","sigma","xi0","xi1"
"FernandinaBeach",1570.44326599344,-21.7126991188074,83.5591428423683,0.210227745086932,-0.010035022723583
"KeyWestFL",551.746945024195,12.5036489893753,41.831211295633,0.0312346246589164,0.374417440229876
"PortlandME",2162.68062556943,90.810975794008,96.100095430887,0.0828214466832402,-0.253417267082633
"NewportRI",1188.01296636515,49.8019313863655,112.454709751128,-0.132410638804504,0.380383902705826
"DuckPierNC",1228.65790681627,4.97807812831276,105.941023722642,-2.40675668018483,2.9998811857275
"CharlestonSC",1375.58332605075,37.5686948123108,94.068311721795,0.195480693028034,0.026004131185313
"AtlanticCityNJ",1360.15805033753,59.9900636395074,114.537036517798,0.000205895781852917,0.00375131158046999
"MontaukNY",973.909995975721,14.9697231998578,129.319690795778,0.741905004527655,-0.767943627484592
"EastportME",3841.68066219522,125.121226317263,77.3454678691182,-0.0272435781275787,0.132846876883985
"BostonMA",2250.62571684287,56.6636588571975,125.829822516321,0.0356718246788412,0.0335474645482623
"WoodsHoleMA",963.470558687821,-13.9964699090645,147.402325370709,-0.262679769384789,0.436599146402724
"NantucketMA",968.055983559502,152.824159073459,125.901405788077,0.0347652793202872,0.0573288306179987
"NewLondonCT",1046.64916274649,-10.4203603954371,152.30195829545,0.429902059100998,-0.38728847798155
"NewYorkNY",1384.5663688066,87.8857376979508,138.338614389614,0.0113156517946683,0.539143639878772
"CapeMayNJ",1497.48216202154,5.95052872910437,116.734120643105,0.0690304207664322,-0.255578630224776
"LewesDE",1417.02718712941,-8.34107651625559,111.650518481104,1.10485664764055,-1.0107417390183
"ChesapeakeBBT",1085.8627418408,58.5695619664247,136.471135638104,-0.692329929149388,1.0260835905017
"WilmingtonNC",875.846333693773,275.502823179776,94.4061188971223,0.0886732226871928,0.0251971684953159
"FortPulaskiGA",1721.76949986073,-47.5674489138402,79.6180248099663,0.109960497023026,0.132715492285078
"MayportFL",1208.77842796685,-39.0325002282851,58.0428875619983,0.13882734833832,-0.0519222592403473
"VirginiaKeyFL",694.849470474731,9.32540320371948,85.9521949532072,-1.11731526275642,1.30265394589794
"NaplesFL",742.357523884132,28.5811057682727,100.59597371506,0.275150732073907,0.080287108621425
"StPetersburgFL",701.958179752833,124.444331292336,126.572897550728,1.25974258004669,-1.74266577745541
"ApalachicolaFL",604.463330233488,99.7108227905505,130.669500114643,2.99921501973419,-2.28108245737971
"PanamaCityBeach",700.202291128983,25.4530741371713,181.803341806733,2.99999090124975,-2.62859684683949
"PensacolaFL",566.921885396096,44.6861075370432,108.582649256582,0.314193622075701,0.152243736347069
"DauphinIslandAL",607.423068316159,18.4178172197446,122.253072676433,2.99983710372474,-2.54515646700014
"GrandIsleLA",565.013799930968,-3.5146863208321,121.713987961974,1.94528050804158,-1.6408928153897
"SabinePassNTX",367.676034164062,358.336407111837,131.904014816666,-0.528022666842516,1.13833790235248
"GalvestonPPier",914.605134332612,-37.9862149881542,171.423826300214,1.5274707543982,-1.44525846471683
"RockportTX",422.575963281939,30.4744312369338,80.3593464664212,0.30757411461852,0.132531125434821
"CorpusCristiTX",698.566903324218,7.8639538354378,148.660281959089,2.2552731192902,-2.36372893571157
"PortIsabelTX",536.425391292732,3.98905358011249,86.9559900159753,0.555621507811211,-0.335185186710347
"ClearwaterBchFL",1045.41544297564,-153.069425028663,101.354823529352,0.943509312148315,-1.03891944403384
"PortCanaveralFL",688.341958449134,475.314760848127,44.4053193090706,-2.12752926777983,2.99971196662034
"GalvestonPier21",683.335714696923,-10.8065602799365,138.43148782812,0.787046015753012,-0.573344388600451
