"","mu","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1558.20213215473,4.10157881859319,0.570978844368519,0.313336711216184,-0.176166969610042
"KeyWestFL",558.177856932783,3.68165165461688,0.0864532594544285,-0.000669820439285866,0.453391921721114
"PortlandME",2216.55309546111,4.80179387849769,-0.364987547944022,-0.0744031011470081,-0.0118430127624591
"NewportRI",1219.85980316462,4.96642602133228,-0.407976284453608,-0.172758759311365,0.415441197359416
"DuckPierNC",1219.833792014,5.148436521044,-0.704115411750983,-2.37995702412612,2.99192650471699
"CharlestonSC",1392.79152596635,4.44151158071519,0.157434154611873,0.051652706211187,0.298664018223537
"AtlanticCityNJ",1391.91015401941,4.84765700356859,-0.192295681010964,-0.0268507730886922,0.0541441917919663
"MontaukNY",990.881293058672,5.23719845002301,-0.539619740131156,0.626073943958567,-0.631035700693633
"EastportME",3910.76170435972,4.34772383036335,0.157565874658758,0.204623353473055,-0.271343184054718
"BostonMA",2277.39204379314,4.62745796596815,0.370306882613319,0.0409012637038424,0.0327215694334392
"WoodsHoleMA",937.097744878835,5.88839534929397,-1.35706587468149,-0.671393277763875,1.01676919220789
"NantucketMA",1070.73347039162,4.65925153909232,0.220176078630525,-0.383625051379933,0.647122263955949
"NewLondonCT",1039.7592630431,5.40882977197718,-0.621509286862516,0.341457109506735,-0.252589367531195
"NewYorkNY",1437.25479971528,5.32604030106113,-0.745791931043284,-0.0353771292034138,0.543747823639443
"CapeMayNJ",1502.35532925319,5.10702496140906,-0.490356150960348,0.0674618399207731,-0.236289604244738
"LewesDE",1402.51427712307,4.17266413689255,0.733123027269692,0.699017646001645,-0.534613137460952
"ChesapeakeBBT",1131.03367731523,4.62019291258074,0.382519635778852,-0.576781137532876,0.885492840025715
"WilmingtonNC",1069.84141094788,5.5204686365128,-1.33893981347424,-0.126921510480675,0.392250189530702
"FortPulaskiGA",1693.62057828436,3.84538462387738,0.823925601258164,0.172723374040211,0.03620440706889
"MayportFL",1190.65348078835,3.9996994315659,0.137997476010514,0.194083816363117,-0.161905438493426
"VirginiaKeyFL",697.757701589347,7.35233501415119,-3.33192628029834,-2.71100180551278,2.98847566807816
"NaplesFL",758.765057268222,4.32588263491041,0.376251325764106,0.216662345035641,0.184305059361876
"StPetersburgFL",795.771803854318,5.2560200626787,-0.434742582563585,0.991760810457924,-1.41780027668806
"ApalachicolaFL",654.190512282531,4.25037684246316,0.363242483260461,0.819476775081647,0.293523925180149
"PanamaCityBeach",678.88767879693,3.22667803758721,2.00844588103253,2.99903018195313,-2.5536689264385
"PensacolaFL",586.245910859001,4.40522820913415,0.508996935009183,0.368559498832917,0.026288557874203
"DauphinIslandAL",596.282688908089,3.24385790660727,1.51108418885465,0.921341465174414,-0.212713258491858
"GrandIsleLA",547.650356723587,3.5523319986086,1.37776697777017,0.804704554578125,-0.333924138198128
"SabinePassNTX",684.17489690691,6.54758535329596,-1.97488735707862,-1.37983558410427,2.03311949662776
"GalvestonPPier",862.509329764456,3.95461945833719,1.5693941752669,0.980830690439426,-0.781220300404572
"RockportTX",441.445550525437,4.62230222241001,-0.390918078436568,0.270153189807921,0.222040908429536
"CorpusCristiTX",698.488371352023,4.49415948453441,0.57062027016179,2.26799019137665,-2.40155283325443
"PortIsabelTX",537.954029235972,4.28533923569984,0.257889586260032,0.429969448322337,-0.157321932010233
"ClearwaterBchFL",904.792068324865,4.46340778377658,0.174944259334674,1.29975291091734,-1.46091243008298
"PortCanaveralFL",1136.49136095344,7.09552156986728,-3.29706909736477,-1.33625829316058,2.11590052132424
"GalvestonPier21",670.080957481953,4.65140106451313,0.461164245242232,0.682705871096128,-0.398991300458705
