"","mu0","mu1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1555.50360982117,7.54266725347248,4.06368164253726,0.651919526523773,0.316807526822527,-0.209859769401064
"KeyWestFL",547.945904206252,24.6737942286348,3.55584977034627,0.379406935465236,0.0593737270126551,0.352204105666177
"PortlandME",2167.40478065666,87.360463702456,4.72509517959605,-0.334009416097754,0.019596177791568,-0.143180418453561
"NewportRI",1203.91723253596,20.9583082760117,4.91014358203284,-0.317518556875341,-0.161074361647456,0.415739220483213
"DuckPierNC",1236.7315719482,-20.0983178436718,5.31868926274098,-0.969628102915274,-2.40464156788997,2.99142058211566
"CharlestonSC",1348.06797995404,93.6414877496194,4.19287263362206,0.630036228622436,0.183599940032001,0.030871545691739
"AtlanticCityNJ",1365.26630375318,50.4673057281314,4.77952564188201,-0.0569165301194283,-0.0137938136344539,0.0372733474617202
"MontaukNY",1006.63028856383,-23.3279504619494,5.28438363468094,-0.601222601286139,0.606385559864068,-0.605884288706157
"EastportME",3843.09238674741,122.851343278385,4.45096872087888,-0.177109000419287,-0.00813666390700037,0.110927533720133
"BostonMA",2231.30389327083,92.4250073212314,4.51333238304706,0.545452793468833,0.145127848099117,-0.145860789991827
"WoodsHoleMA",1053.53618408725,-139.704798866627,6.23608398200993,-1.86344373227403,-1.320325208812,1.91040485586696
"NantucketMA",916.447495039015,226.831030835594,4.25022809917069,0.785156488354004,0.155014481573486,-0.112860603417307
"NewLondonCT",1093.68916856057,-73.1309077416002,5.5744839858684,-0.832910384705311,0.284887909567802,-0.16129893733129
"NewYorkNY",1398.89452558653,56.3906388254856,5.19966417502607,-0.550433753774479,-0.040949907293012,0.586744382002715
"CapeMayNJ",1521.77773333838,-23.7563546130592,5.09012390828424,-0.483556166619452,0.0481749149362659,-0.217438281332398
"LewesDE",1358.05525394325,81.9404677125173,3.84364027898642,1.20301188290214,1.05264073703514,-0.994020259627752
"ChesapeakeBBT",975.274152905167,217.314089630075,3.52281333160458,1.8416758146403,0.523662977394866,-0.576991619852315
"WilmingtonNC",879.457257605644,268.730460051361,4.60676843694726,-0.0851490229358686,0.0773053855866562,0.0570010574825604
"FortPulaskiGA",1654.49882847139,74.9591766567671,3.51767850778045,1.34140149678537,0.301976165075012,-0.168850437804079
"MayportFL",1211.67657850566,-45.296691933378,4.18313580031563,-0.243028185793264,0.131382850014725,-0.0290902217009751
"VirginiaKeyFL",694.018132653305,3.98728544828935,7.3311740334426,-3.32627020411134,-2.6891957650099,2.97587797939989
"NaplesFL",699.617178105387,89.5341995445232,3.99935783560713,0.823904068862893,0.393791500620354,-0.0784493105524888
"StPetersburgFL",711.124931813194,115.187190669605,5.01082107568841,-0.256037988854051,1.24424766381385,-1.69671699377016
"ApalachicolaFL",470.143879509501,263.450449053821,1.31053389478369,4.11670744489814,2.74154782740768,-2.25029667406231
"PanamaCityBeach",647.967414734009,43.9933237520829,3.06998332839134,2.2154836820105,2.99419347945657,-2.60383605150233
"PensacolaFL",541.712727340419,93.6134641423094,4.30147615668788,0.701025804517534,0.379981416489849,-0.00285433940968461
"DauphinIslandAL",501.748674655236,141.317391144446,2.0620990894249,3.07503744052979,2.96636640842393,-2.94069502955722
"GrandIsleLA",451.770201583585,132.457904586834,3.0626637552413,1.98460357651065,1.16632164079382,-0.843440466185758
"SabinePassNTX",409.729874310726,298.843533369759,6.70035458070454,-2.27196227033303,0.988193466533652,-0.717984570534438
"GalvestonPPier",809.358366730543,115.629588058769,3.73983128690607,1.96671326011541,0.958448433100141,-0.815222140449899
"RockportTX",445.087117412447,-5.39449163119501,4.6567182440243,-0.439175125406462,0.252856610300243,0.235364250492547
"CorpusCristiTX",690.223226076667,9.80198059552438,4.54394054584157,0.504111112168664,2.06676335351071,-2.14674385835588
"PortIsabelTX",521.215278390417,27.0463440774141,4.14770924820947,0.442271276185726,0.471216317284627,-0.226393766703768
"ClearwaterBchFL",1075.94487121913,-186.289246172591,3.786879269916,0.909769462512392,1.45838393811972,-1.6229350882628
"PortCanaveralFL",730.327648321678,430.251083645382,1.67636838209551,2.29244064315432,0.374559109849929,0.279143503171749
"GalvestonPier21",656.995933276623,36.6223822650296,4.59210993489941,0.590221706930841,0.71310506895152,-0.522696275894282
