"","mu","sigma","xi"
"FernandinaBeach",1560.90251502993,85.1451261258838,0.177845607469684
"KeyWestFL",557.995391587811,42.6417235239184,0.256503870419446
"PortlandME",2212.78163512416,101.576969046965,-0.0901551114952142
"NewportRI",1216.73187338876,114.230316897719,0.087104585683477
"DuckPierNC",1216.62228416825,107.859570263087,0.0251875647335237
"CharlestonSC",1394.46427137781,94.6317393185896,0.218201294841395
"AtlanticCityNJ",1390.47213532233,116.109644201761,-0.00344358137078076
"MontaukNY",991.206737894691,137.23351005227,0.24621872237378
"EastportME",3913.52389074053,83.47673143341,0.033872239273733
"BostonMA",2279.96897964355,125.617395676478,0.0693495231299094
"WoodsHoleMA",946.539815023377,144.963932752752,0.0268993050711469
"NantucketMA",1073.53026649131,130.190268997196,0.0961235060369909
"NewLondonCT",1042.70085306818,154.221272956568,0.212420342824841
"NewYorkNY",1430.02331730951,140.296211630945,0.276627283843935
"CapeMayNJ",1501.36255593974,114.853961839003,-0.0755776511280098
"LewesDE",1414.85475738324,115.964063771144,0.207501400326676
"ChesapeakeBBT",1126.18238314579,133.815814861672,0.206921121832871
"WilmingtonNC",1032.81430839068,117.320841984405,0.0556805385740819
"FortPulaskiGA",1696.1152756759,82.8586106713694,0.168716986837121
"MayportFL",1190.41121705007,58.6946037208892,0.112394971849164
"VirginiaKeyFL",697.750234999458,88.5339014850956,0.115501996484062
"NaplesFL",760.861686797355,99.9027970276843,0.36255673944083
"StPetersburgFL",784.334800304343,130.608267765046,0.161985179817964
"ApalachicolaFL",659.347674933755,98.6129894428544,1.06270711861916
"PanamaCityBeach",703.886895958952,165.702568536948,0.75738873859567
"PensacolaFL",591.079804173431,110.168358917874,0.407023988338143
"DauphinIslandAL",612.046487096484,105.266275999956,0.580075812768385
"GrandIsleLA",557.57610365919,117.064597846067,0.45519156201178
"SabinePassNTX",670.021468302329,140.397731951391,0.318063026509712
"GalvestonPPier",885.697683498214,160.586745950985,0.389126663119362
"RockportTX",443.908810654918,82.5787262202225,0.34550767212656
"CorpusCristiTX",696.589197669634,140.333427170317,0.214591138431143
"PortIsabelTX",538.303906921174,86.4494503663343,0.326982976797902
"ClearwaterBchFL",897.854352084654,99.616907412657,0.0951112097196476
"PortCanaveralFL",1127.22311331615,70.9711536304939,0.327433218164564
"GalvestonPier21",679.470337475153,139.452041049169,0.403863371131148
