"","mu0","mu1","sigma","xi"
"FernandinaBeach",1571.3056746668,-22.4247748009226,83.4747097268573,0.202181930383071
"KeyWestFL",546.090864036119,20.1383692488294,41.924725175987,0.266749291221114
"PortlandME",2165.87114644948,77.0194643413691,97.6081109985606,-0.0565416348534107
"NewportRI",1158.68189728093,82.2906562856554,110.471495745681,0.118172534496952
"DuckPierNC",1020.10280210735,222.366198492383,101.376110869168,0.0847416308123953
"CharlestonSC",1372.51649037252,37.680330324223,94.1948711116967,0.211822924317161
"AtlanticCityNJ",1364.90397647515,45.2359869133273,115.751091012107,-0.00726752362431068
"MontaukNY",1010.50772623206,-25.7120455733472,137.184705972638,0.246030544788783
"EastportME",3815.79626967978,149.103025327218,73.1515865053442,0.085341147149453
"BostonMA",2246.41196715003,55.5191392083772,125.678824713235,0.0580019649472447
"WoodsHoleMA",941.342060649621,6.30260043533943,144.81282256663,0.0284560724234546
"NantucketMA",822.589549181845,309.370575314833,123.939664594671,0.0912535311791889
"NewLondonCT",1056.70599868945,-19.1609815770452,154.326515506677,0.21064196004578
"NewYorkNY",1363.55245299589,103.659837010393,133.941959667924,0.322085705011233
"CapeMayNJ",1484.86203940878,19.4727558535919,114.66990698774,-0.0730911625396072
"LewesDE",1431.69449706596,-25.9311498634679,114.195579553853,0.233377166508086
"ChesapeakeBBT",952.655376499687,206.654593646809,133.037851814018,0.192880393012467
"WilmingtonNC",810.108293028747,333.026907245416,76.6564834391416,0.22998057600513
"FortPulaskiGA",1753.57183123071,-88.7403121945173,75.9287179469551,0.256977347599036
"MayportFL",1232.36152405674,-70.9136869627285,56.3246231374773,0.127258303643928
"VirginiaKeyFL",492.200833611714,217.379542420287,85.5543176774774,0.146872737058837
"NaplesFL",742.025610875131,24.620813635877,100.764012088323,0.344657994104479
"StPetersburgFL",680.485247724071,139.042502043516,126.780048546498,0.179398608388897
"ApalachicolaFL",665.526753146213,-8.30931778452127,97.9175900646299,1.07829412800998
"PanamaCityBeach",450.17049583421,282.388422598242,169.112966479994,0.690703957737922
"PensacolaFL",551.054120894765,65.7572676876929,108.520194503319,0.407067457290042
"DauphinIslandAL",717.109654934596,-133.486709258764,92.2504373372517,0.797029703642214
"GrandIsleLA",728.795638012828,-216.090746324616,97.6236228969692,0.723900252861955
"SabinePassNTX",447.958392740886,240.771503283295,136.484789475807,0.350296374942708
"GalvestonPPier",982.560110611321,-137.4538407597,153.860912310393,0.45391745058553
"RockportTX",422.398350217037,27.7334271222795,81.9816589637307,0.354082938294873
"CorpusCristiTX",1059.02786285642,-399.959251079271,130.489812915593,0.285453811771465
"PortIsabelTX",555.375879811782,-22.8977189873499,86.1151467471527,0.331002164733723
"ClearwaterBchFL",822.952566832908,78.6269666388843,99.2270154492863,0.100999002756694
"PortCanaveralFL",655.588817658198,499.99993737425,53.3790056077821,0.476146495980464
"GalvestonPier21",695.820071795836,-34.3704990657935,136.583395278668,0.436993125123039
