"","mu","sigma","xi0","xi1"
"FernandinaBeach",1561.27300222161,84.7416500923418,0.24578899539098,-0.0961955942139483
"KeyWestFL",558.140988446695,41.6016780961093,-0.0351458497948043,0.470149131942615
"PortlandME",2212.78530700701,101.5752281673,-0.0904039444520213,0.000409614497389294
"NewportRI",1220.49651702677,112.668179093171,-0.443686635588085,0.752002243517779
"DuckPierNC",1227.94130470095,103.934905238661,-2.59065410450167,2.99999761219465
"CharlestonSC",1394.45165801446,94.0337293188274,0.133757299890576,0.132292632854422
"AtlanticCityNJ",1390.74129573124,116.157573273007,-0.0641051117942025,0.0917166548767291
"MontaukNY",985.897658471393,130.779973064402,0.91440020257954,-0.88450785569853
"EastportME",3913.79112333171,81.4432722992246,-0.0924828388476213,0.200215404714398
"BostonMA",2279.78237623806,125.090898014654,-0.0681892485239991,0.194650175826408
"WoodsHoleMA",954.719396033767,147.539791044238,-0.709234608876246,0.965808848257736
"NantucketMA",1071.47638050434,120.333030432451,-1.11166056012853,1.4776090731102
"NewLondonCT",1040.0277558985,151.021574341744,0.615865201876667,-0.576756058823831
"NewYorkNY",1436.14037794186,137.853896005278,-0.258308189734338,0.902979980596963
"CapeMayNJ",1501.34646266404,114.823221735157,-0.0812856976545556,0.00749246352964531
"LewesDE",1413.54974493072,114.381944537475,1.41067879451843,-1.30345324442394
"ChesapeakeBBT",1132.15918444557,133.336601226877,-1.65050567246215,2.07550422471035
"WilmingtonNC",1034.2269453147,112.415764454562,-0.11585138742202,0.276985895408357
"FortPulaskiGA",1696.85626151081,82.5704754715682,0.261665308821546,-0.106236649956735
"MayportFL",1191.20810539358,56.0713592697407,0.650408534650263,-0.904919092829413
"VirginiaKeyFL",702.714571803858,84.5281949569823,-2.71384578741691,2.99999183733495
"NaplesFL",761.03601954683,100.1104678701,0.439685014099157,-0.0860282862815091
"StPetersburgFL",782.743674262259,133.867812588823,0.630137358127593,-0.647141823615035
"ApalachicolaFL",660.168552539662,102.078269975235,1.84287279146001,-0.872507807515038
"PanamaCityBeach",707.309018097156,167.736739619608,2.99999985863058,-2.51449932636478
"PensacolaFL",590.718337386497,109.308513324116,0.35544031061298,0.0893782358422709
"DauphinIslandAL",619.78861639973,111.114254476829,2.99999892996573,-2.53164620484441
"GrandIsleLA",568.36516170421,120.905450041951,2.99999991630988,-2.68829317553304
"SabinePassNTX",688.513150280955,143.399971975978,-2.46966556595084,2.99998812948453
"GalvestonPPier",890.633664093723,161.822398677325,1.50106987698469,-1.30895889856504
"RockportTX",444.040086492946,83.1368541604974,0.511023976573901,-0.2374544176733
"CorpusCristiTX",699.227268996642,137.411689960145,1.57441080281485,-1.47932451832162
"PortIsabelTX",538.478911385804,86.2282273178806,0.598968974456997,-0.357703788147363
"ClearwaterBchFL",903.179182358125,104.0471429807,1.71836512293713,-1.8106099278312
"PortCanaveralFL",1127.1447884071,71.0661600484323,0.386937117992911,-0.0626717832481991
"GalvestonPier21",678.203095548195,136.651032565898,0.845804065194988,-0.608717116190688
