"","mu0","mu1","sigma0","sigma1","xi"
"FernandinaBeach",1563.66181465978,-8.52957044638183,4.26162126143101,0.28886805397992,0.21266467603344
"KeyWestFL",542.559711350136,26.1433000545833,3.62317425314727,0.201603038271845,0.262550868045486
"PortlandME",2167.85575439579,74.087408160498,4.77258351370246,-0.321791192831992,-0.0644410118428778
"NewportRI",1162.93850582781,75.7584204571329,4.76084521996837,-0.0850137694220001,0.123523789608143
"DuckPierNC",1082.04356434442,151.150342365598,5.43320296571927,-0.94783814624295,0.101362403880452
"CharlestonSC",1350.80882369421,74.4567401387521,4.2502420419489,0.470854154991984,0.210144811012571
"AtlanticCityNJ",1360.89176474791,51.7631280859908,4.61810222271925,0.222043063668624,-0.00476296359690429
"MontaukNY",1065.83226288471,-90.9016264350111,5.71831477681474,-1.03621199529987,0.159490959920258
"EastportME",3815.30503864426,150.00863769583,4.2660479009338,0.0388430157133782,0.0832174210009075
"BostonMA",2225.40781538738,90.5155774529654,4.507594497373,0.502593270923419,0.0516744363014624
"WoodsHoleMA",981.839968461621,-46.589482151998,6.32704581733993,-1.76051610367726,0.0563946081036612
"NantucketMA",758.138190791784,388.794314491272,3.86121206353341,1.14490108232975,0.0818868280983303
"NewLondonCT",1118.36243440187,-97.7389908040166,5.69435009681087,-0.901633440514204,0.163283396187546
"NewYorkNY",1378.93947663397,77.5666419299358,5.09234909518259,-0.331390119143538,0.328785796013498
"CapeMayNJ",1493.85001761232,8.42353780534884,5.10800956969176,-0.441914439508799,-0.069248110528417
"LewesDE",1358.45842783504,71.9608574088007,3.53325348845562,1.52695224899164,0.327370159627925
"ChesapeakeBBT",854.5824222723,327.720400958232,3.38723235823546,1.78220266821324,0.12252488102882
"WilmingtonNC",787.746772497437,366.139488366146,3.98880821973562,0.49949853108024,0.231718964663024
"FortPulaskiGA",1703.75412828174,-13.4358952164736,3.49484807629687,1.16091831840845,0.243373658575399
"MayportFL",1249.65266991452,-99.4061086005536,4.38123924190067,-0.604902643883735,0.11948538499335
"VirginiaKeyFL",552.396213302467,152.664979029833,5.28864771996624,-0.908313128446094,0.162419738055328
"NaplesFL",623.610449761814,173.601356705075,2.67606174333615,2.32665541075664,0.297207441952825
"StPetersburgFL",679.336054652447,140.949705138488,4.84442909432036,-0.000971860180561166,0.179973040467321
"ApalachicolaFL",356.594393065873,363.784864216683,0.0118450798717268,5.214368745762,0.905865233582601
"PanamaCityBeach",330.330791604454,407.331407998801,3.29792688880011,1.94591246709108,0.720131583142489
"PensacolaFL",521.219875307001,115.618445667374,4.27750574685156,0.641020727809732,0.384549134744583
"DauphinIslandAL",388.145304896034,261.228796161509,0.0857817865603813,5.03901866049392,0.588477358985146
"GrandIsleLA",426.642933349793,149.361261061862,0.777840235825495,4.39353867341581,0.537400978391629
"SabinePassNTX",541.711017806248,134.041481969499,7.77928575819129,-3.20368142875906,0.358425638521459
"GalvestonPPier",764.769423601379,157.087627921216,3.16676809089583,2.40621297455951,0.466693389531121
"RockportTX",432.689398688262,13.82955592028,4.61065497472122,-0.274276437329157,0.363737658827646
"CorpusCristiTX",1081.39443932816,-424.643657369081,5.16171957091658,-0.319229305356217,0.285134112427963
"PortIsabelTX",552.935463958555,-19.41948357097,4.41869534417279,0.0486082016622336,0.330422852157048
"ClearwaterBchFL",855.037608787097,45.2200170033233,5.79389067888439,-1.26114449368963,0.0908750704920264
"PortCanaveralFL",655.632746469597,499.989519254868,3.76272250270036,0.224291852695453,0.46692218246038
"GalvestonPier21",664.180527983209,19.8628151709419,4.57894044553081,0.557187896750227,0.468730094418975
