"","mu0","mu1","sigma","xi0","xi1"
"FernandinaBeach",1570.66383412361,-20.8047713217682,83.4886871978974,0.243692345406264,-0.0635369639071197
"KeyWestFL",548.777859591642,15.6056188393294,41.7460177290738,0.00601975937497789,0.39175200090139
"PortlandME",2161.9437653398,81.4548169092505,96.9643154279603,0.0614221304082725,-0.188483024257843
"NewportRI",1169.98447807355,70.0911855673295,112.557411780107,-0.339990159971121,0.612856406471855
"DuckPierNC",1144.31806645632,91.2753379361466,104.475569456032,-2.34724192571188,2.74338473480472
"CharlestonSC",1371.40866447051,39.7853235490403,94.2741699067521,0.241089921898356,-0.0428417713924542
"AtlanticCityNJ",1365.22705447141,44.7917457789987,115.997446028988,-0.0552612252628251,0.0730353912725054
"MontaukNY",995.903890043673,-13.6827975697816,131.119816044506,0.907650261770709,-0.876988538923852
"EastportME",3816.42382840777,147.704234368827,72.8128591823664,-0.0511080482928885,0.211818449989642
"BostonMA",2248.10698355483,52.3828328467379,125.793091722149,-0.0164753058752001,0.10301484980322
"WoodsHoleMA",950.665520099826,4.84517382567749,147.537840755794,-0.710322932649605,0.969202185574177
"NantucketMA",834.743031964347,293.110119153697,123.345867746159,-0.132120809662526,0.26443238392692
"NewLondonCT",1050.24253188992,-14.5030659736728,151.328647894312,0.610122577419293,-0.570538444949273
"NewYorkNY",1378.48375167519,85.1148336105107,136.028687821683,-0.139097909213604,0.723386241323909
"CapeMayNJ",1483.93188894515,20.721410903966,114.822281275543,-0.0434989487218996,-0.0388710210080349
"LewesDE",1405.99134915342,12.3219645335334,115.476308161982,1.62469393327175,-1.53522188745657
"ChesapeakeBBT",994.069889142983,159.173894880123,133.41938801968,-1.3074178724178,1.6889065407626
"WilmingtonNC",810.829441046208,331.926918664884,76.65997824058,0.205470909332543,0.0333704017405365
"FortPulaskiGA",1754.62264899684,-90.572440099462,75.7865808493618,0.218483329977775,0.0489773594630537
"MayportFL",1226.61504705209,-61.8837420181225,56.0592613661033,0.344047468071637,-0.391111716979054
"VirginiaKeyFL",716.061764299886,-13.9770991873927,84.4762123278996,-2.71674880243077,2.99989236589876
"NaplesFL",739.869304452334,27.9207220923133,101.194581438025,0.503044543664844,-0.177004916834266
"StPetersburgFL",645.555040942417,181.843677616428,125.163535787092,1.54552283620426,-1.76199988999039
"ApalachicolaFL",596.095109448281,88.2778074684649,113.893700194804,2.99902357484919,-2.22125243539412
"PanamaCityBeach",396.446416995062,348.264741525361,168.246874817784,2.99998060449514,-2.5800777676718
"PensacolaFL",549.085003116159,70.0933622834695,109.165528129426,0.470614143216187,-0.10052351199973
"DauphinIslandAL",659.730344731533,-56.7052749829547,104.903170627469,2.99975143426883,-2.43492262859795
"GrandIsleLA",679.434524581681,-147.861778177318,110.121033982803,2.75733503536937,-2.29437419201648
"SabinePassNTX",539.989724047839,159.372713996299,143.934670769939,-2.43581500641977,2.99990696946995
"GalvestonPPier",932.414307703038,-62.2746942624055,158.450548663015,1.29473478908133,-1.04927974138306
"RockportTX",420.469948701198,31.4468777303007,82.8378942335161,0.660531261800898,-0.437869436634951
"CorpusCristiTX",1059.44029145804,-399.353689510103,131.537516916947,1.3005084089964,-1.12836417205848
"PortIsabelTX",549.796191208143,-15.3449185521045,86.1726253151663,0.520969015061696,-0.254004221774609
"ClearwaterBchFL",676.643400922623,242.265003423603,104.806075209286,2.29287405325449,-2.4564379499282
"PortCanaveralFL",655.649568707083,499.998405027846,53.6415107825906,1.06699328853891,-0.624925183683587
"GalvestonPier21",685.551668847908,-16.9280376156799,135.806495512013,0.819443065806877,-0.559949635115016
