"","mu","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1559.51746075728,4.22580781245908,0.342757187938126,0.284736004469375,-0.134738432751955
"KeyWestFL",557.864714994844,3.7150739306918,0.0235441449025425,-0.0393319398383862,0.483724379814776
"PortlandME",2216.04406859797,4.81273021275948,-0.350668135010207,-0.123191548600182,0.0720906855150087
"NewportRI",1219.77921781318,4.9091912754044,-0.275509923203064,-0.395300827452431,0.6806556070253
"DuckPierNC",1219.29691131879,5.66597580126532,-1.22457262196625,-2.58712357183568,2.99882505859588
"CharlestonSC",1394.07849402582,4.50750156127648,0.0540505983775663,0.128000653363471,0.144043684444882
"AtlanticCityNJ",1388.95565687096,4.68614483865979,0.114344221849293,-0.047117167289169,0.0668853861239625
"MontaukNY",990.0527943326,5.27557467206955,-0.513840570011012,0.748013591765787,-0.697670484206183
"EastportME",3919.79197985813,4.6976470524616,-0.479981548213706,-0.0979345487261842,0.260815784369401
"BostonMA",2278.27489722221,4.64586792708293,0.281415586402812,-0.0995697987569821,0.239695926107183
"WoodsHoleMA",939.395854939938,6.47905824718275,-1.93196866518349,-1.17736309726708,1.54057732444143
"NantucketMA",1070.99763518612,4.63104952275876,0.198449614114851,-1.09744247119863,1.46037060776936
"NewLondonCT",1042.37231465243,5.33987570126181,-0.438917635051925,0.479342719777477,-0.403561229113161
"NewYorkNY",1434.01174855225,5.21003358883882,-0.497978362806276,-0.145713220525183,0.700329363059484
"CapeMayNJ",1500.42977463333,5.11099010499446,-0.449704638760201,-0.138511625778984,0.0934774709442491
"LewesDE",1403.17668477576,4.06947584358861,0.805655343396151,0.642472761084548,-0.442101294204852
"ChesapeakeBBT",1132.00084817279,5.04965217621932,-0.187928293307281,-1.74530725428393,2.18917180806536
"WilmingtonNC",1077.14262448725,6.0075468817036,-2.06771099754627,-0.220210037421611,0.689277875781158
"FortPulaskiGA",1695.66667695145,3.44892849795837,1.2355866900175,0.354661861882681,-0.16957721159187
"MayportFL",1191.26218142546,3.87855481541673,0.248175966537058,0.609206114171502,-0.835885424479682
"VirginiaKeyFL",698.540554060606,5.86348947735629,-1.54450258869219,-2.73794558708126,2.99761567455207
"NaplesFL",752.821939756821,3.26527183395313,1.59084478716749,0.45556020346902,-0.135452543831057
"StPetersburgFL",789.45949449273,5.31414887651625,-0.544439496980181,0.89319355960963,-0.961019674817374
"ApalachicolaFL",652.690615319418,3.66679665618128,0.974307265911004,0.419647723199754,0.729095974268232
"PanamaCityBeach",705.907873690325,5.09063123028436,0.0243066148082916,2.9883377794568,-2.50225557503361
"PensacolaFL",590.668293647834,4.6900091442685,0.00763313747560184,0.355360993873632,0.0846944091439843
"DauphinIslandAL",596.533034379757,1.99247332331839,2.7809413630272,0.644045249639838,0.0885708124790826
"GrandIsleLA",544.612791324308,1.55528159720043,3.44626308526392,0.782135317527894,-0.219913361837747
"SabinePassNTX",673.860085923458,7.41825977476792,-2.80910767311018,-2.49152985901976,2.99936908476979
"GalvestonPPier",874.310088503436,3.97974776937502,1.33609249512,0.837903249149176,-0.504747455147558
"RockportTX",444.499572613987,4.718731521003,-0.392401827783806,0.64322393083995,-0.397231095049367
"CorpusCristiTX",702.044344023844,3.69298933105684,1.3320801651568,1.45922824209484,-1.33152453056508
"PortIsabelTX",538.708291602934,4.36966669641394,0.116073852684531,0.549793805241293,-0.297128599605369
"ClearwaterBchFL",903.548922761403,3.00010106614758,1.77864894766097,2.77210666531829,-2.99833056796342
"PortCanaveralFL",1140.87278753761,9.82322824240806,-5.99319142112127,-1.33586035571657,2.00015872691609
"GalvestonPier21",672.337421344505,4.68973881548112,0.347215735307068,0.744653650998436,-0.455273537139809
