"","mu0","mu1","sigma0","sigma1","xi0","xi1"
"FernandinaBeach",1558.94851457363,-0.0443892845404414,4.23393978489465,0.316491503244545,0.290772816451444,-0.144362080658736
"KeyWestFL",543.142830624672,27.4684782117879,3.54320532501295,0.372231081443222,-0.0258294180112171,0.468584954890369
"PortlandME",2170.53426556559,71.0790412449177,4.75924337994947,-0.305699229062139,-0.00862383259102249,-0.0875539564320001
"NewportRI",1173.40397915601,66.207090300279,4.75395595846675,-0.0459606655922999,-0.357270988062131,0.640625710268043
"DuckPierNC",1190.39052478975,31.8283135385155,5.47415104902331,-0.981131678496209,-2.54055562041212,2.9383412407451
"CharlestonSC",1355.05427328736,62.746441867719,4.30293067114868,0.374664769475902,0.279247432152832,-0.0731134045637425
"AtlanticCityNJ",1367.13316617265,45.2787102796068,4.64492974534373,0.209139418026007,-0.0335380536933249,0.0173872968095878
"MontaukNY",1032.1887278772,-53.1164561306265,5.3956747402756,-0.645584310799742,0.630881116359081,-0.570464915986303
"EastportME",3814.68859611692,149.436220177754,4.24725067003879,0.052520171863853,0.00332339181955717,0.127386652006322
"BostonMA",2229.21361769565,85.7338624284802,4.52998719510173,0.483952311044237,-0.0138398167596886,0.112007272154768
"WoodsHoleMA",1028.51624422862,-101.200133861342,6.7084188923498,-2.23887446203081,-1.53048926328851,1.96650892978951
"NantucketMA",751.133349419635,401.751070026795,3.88909345208407,1.13209701431706,0.234471895582611,-0.200029573824079
"NewLondonCT",1096.71629565673,-72.0397949192079,5.54535120038871,-0.726015041804707,0.360934483235612,-0.262924310002978
"NewYorkNY",1391.02739694451,63.3473806807282,5.06115480464987,-0.257005662550206,-0.108015959462549,0.670600786273163
"CapeMayNJ",1497.37143820028,4.87558130999991,5.10040160274183,-0.438775998815237,-0.0974861645784434,0.0295990902988175
"LewesDE",1343.15764547094,91.0761630636158,3.40484076676287,1.64595712602969,1.20076668374295,-1.1456885023845
"ChesapeakeBBT",839.578109402906,344.426033077528,3.2696236456878,1.92145211334983,0.273741267009616,-0.168522851864266
"WilmingtonNC",784.399799006093,370.723808613894,3.96320741577389,0.531297410160016,0.311491058076643,-0.0929219550232703
"FortPulaskiGA",1701.38570782909,-9.89413607254626,3.51672588624893,1.15050677943021,0.4127745530445,-0.227595641011533
"MayportFL",1239.18759802099,-84.6617646100444,4.31005782629971,-0.514936923041061,0.31941018678047,-0.338218385147612
"VirginiaKeyFL",757.758768794123,-61.4593368287597,5.6065043627638,-1.26968903007562,-2.70938805537506,2.99284007688795
"NaplesFL",613.309580049804,187.92793249552,2.5723983431872,2.47524676207792,0.429928378949455,-0.164391800368502
"StPetersburgFL",654.920885556749,171.5878447913,4.91239669444626,-0.0994973801293091,1.57458173054745,-1.79812341669488
"ApalachicolaFL",393.401224934805,319.695204469252,0.453502118790549,4.72324537921964,1.26637332376236,-0.398884436864106
"PanamaCityBeach",304.549702240717,437.503258556348,3.15108477441692,2.09453860894829,2.98849668601121,-2.43299901791936
"PensacolaFL",516.501258396091,126.476431459369,4.24776574227141,0.71352354863207,0.437641874960497,-0.097946615649805
"DauphinIslandAL",402.459362885817,247.315982607638,0.755268953502248,4.32561439447471,1.92203976489455,-1.52791293767841
"GrandIsleLA",433.628046365747,140.490922076645,0.759835370959759,4.41789553757722,1.02270774762082,-0.587556555997565
"SabinePassNTX",619.016736945302,57.0816245318362,7.43204215739368,-2.80884599159355,-2.41930785716833,2.96350809907593
"GalvestonPPier",698.150900815888,251.580542781847,3.03611344320132,2.56592774533706,1.19593324276269,-0.959715135860942
"RockportTX",434.255693931565,12.3099788867373,4.64810256198327,-0.33149773791862,0.577284512991324,-0.318855882251393
"CorpusCristiTX",1069.39375575584,-410.556183267512,4.90172139313808,-0.026913924180398,1.50582607807148,-1.34597061676785
"PortIsabelTX",553.378852181618,-19.5909375781233,4.45567166256581,0.00965256552620022,0.380232546503885,-0.0634676129610827
"ClearwaterBchFL",701.186652996415,218.137354652872,3.66176271378987,1.03518168572294,2.67669405406949,-2.8859179402532
"PortCanaveralFL",656.170237478787,498.844964350357,3.72012309690149,0.270592041048458,1.44028315930756,-1.03125005343774
"GalvestonPier21",659.330022774762,27.2143783268553,4.65395013399749,0.413668912112573,0.751717964894367,-0.468516839166679
